Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0134916193	4.40632795	4.40632795	4.40632795	4.40632795	0	0	0	0	0	0	3
2	4	0	0.0269832386	1.32297174	2.86464985	1.32297174	4.40632795	1.54167811	0	0	0	0	0	3
3	5	0	0.0404748579	0.673558098	2.13428593	0.673558098	4.40632795	2.27204202	0	0	0	0	0	3
4	6	0	0.0539664773	0.110304303	1.62829052	0.110304303	4.40632795	2.77803743	0	0	0	0	0	3
5	7	0	0.0674580966	0.389518629	1.38053614	0.110304303	4.40632795	3.02579181	0	0	0	0	0	3
6	8	0	0.0809497159	0.21802862	1.18678489	0.110304303	4.40632795	3.21954306	0	0	0	0	0	3
7	8	0	0.0944413352	0.250313595	1.05300328	0.110304303	4.40632795	3.35332467	0	0	0	0	0	3
8	9	0	0.107932955	0.239487013	0.951313744	0.110304303	4.40632795	3.45501421	0	0	0	0	0	3
9	10	0	0.121424574	0.24639271	0.872989184	0.110304303	4.40632795	3.53333877	0	0	0	0	0	3
10	11	0	0.134916193	0.241452529	0.809835519	0.110304303	4.40632795	3.59649243	0	0	0	0	0	3
11	11	0	0.148407812	0.242070207	0.758220491	0.110304303	4.40632795	3.64810746	0	0	0	0	0	3
12	12	0	0.161899432	0.236866012	0.714774284	0.110304303	4.40632795	3.69155367	0	0	0	0	0	3
13	13	0	0.175391051	0.236081241	0.677951742	0.110304303	4.40632795	3.72837621	0	0	0	0	0	3
14	14	0	0.18888267	0.230830797	0.646014532	0.110304303	4.40632795	3.76031342	0	0	0	0	0	3
15	15	0	0.20237429	0.229879561	0.6182722	0.110304303	4.40632795	3.78805575	0	0	0	0	0	3
16	15	0	0.215865909	0.225293864	0.593711054	0.110304303	4.40632795	3.8126169	0	0	0	0	0	3
17	16	0	0.229357528	0.222505978	0.571875462	0.110304303	4.40632795	3.83445249	0	0	0	0	0	3
18	17	0	0.242849148	0.21831437	0.552233179	0.110304303	4.40632795	3.85409477	0	0	0	0	0	3
19	18	0	0.256340767	0.21447584	0.534456477	0.110304303	4.40632795	3.87187147	0	0	0	0	0	3
20	19	0	0.269832386	0.212379819	0.518352644	0.110304303	4.40632795	3.88797531	0	0	0	0	0	3
21	20	0	0.283324006	0.20969615	0.503654716	0.110304303	4.40632795	3.90267324	0	0	0	0	0	3
22	20	0	0.296815625	0.205287827	0.490092584	0.110304303	4.40632795	3.91623537	0	0	0	0	0	3
23	21	0	0.310307244	0.203761408	0.477643403	0.110304303	4.40632795	3.92868455	0	0	0	0	0	3
24	22	0	0.323798864	0.199934186	0.466072185	0.110304303	4.40632795	3.94025577	0	0	0	0	0	3
25	23	0	0.337290483	0.198846691	0.455383166	0.110304303	4.40632795	3.95094479	0	0	0	0	0	3
26	24	0	0.350782102	0.196807771	0.445437958	0.110304303	4.40632795	3.96088999	0	0	0	0	0	3
27	25	0	0.364273722	0.195875722	0.436194912	0.110304303	4.40632795	3.97013304	0	0	0	0	0	3
28	25	0	0.377765341	0.195324275	0.42759239	0.110304303	4.40632795	3.97873556	0	0	0	0	0	3
29	26	0	0.39125696	0.195430875	0.41958682	0.110304303	4.40632795	3.98674113	0	0	0	0	0	3
30	27	0	0.404748579	0.19424152	0.41207531	0.110304303	4.40632795	3.99425264	0	0	0	0	0	3
31	28	0	0.418240199	0.194388433	0.405053153	0.110304303	4.40632795	4.0012748	0	0	0	0	0	3
32	29	0	0.431731818	0.19475906	0.398481462	0.110304303	4.40632795	4.00784649	0	0	0	0	0	3
33	30	0	0.445223437	0.195166986	0.392320418	0.110304303	4.40632795	4.01400753	0	0	0	0	0	3
34	30	0	0.458715057	0.195398656	0.386528601	0.110304303	4.40632795	4.01979935	0	0	0	0	0	3
35	31	0	0.472206676	0.195908746	0.38108232	0.110304303	4.40632795	4.02524563	0	0	0	0	0	3
36	32	0	0.485698295	0.196078937	0.375943337	0.110304303	4.40632795	4.03038461	0	0	0	0	0	3
37	33	0	0.499189915	0.19632083	0.371088674	0.110304303	4.40632795	4.03523928	0	0	0	0	0	3
38	34	0	0.512681534	0.197828798	0.366529204	0.110304303	4.40632795	4.03979875	0	0	0	0	0	3
39	34	0	0.526173153	0.199447177	0.255821815	0.110304303	1.32297174	1.21266744	0	0	0	0	0	3
40	35	0	0.539664773	0.200992331	0.226296041	0.110304303	0.673558098	0.563253796	0	0	0	0	0	3
41	36	0	0.553156392	0.202988754	0.213912637	0.110304303	0.389518629	0.279214327	0	0	0	0	0	3
42	37	0	0.566648011	0.204291872	0.216385994	0.19424152	0.389518629	0.19527711	0	0	0	0	0	3
43	38	0	0.580139631	0.205380137	0.211540245	0.19424152	0.250313595	0.0560720751	0	0	0	0	0	3
44	39	0	0.59363125	0.206660676	0.211241088	0.19424152	0.250313595	0.0560720751	0	0	0	0	0	3
45	40	0	0.607122869	0.207575995	0.210116415	0.19424152	0.24639271	0.0521511907	0	0	0	0	0	3
46	41	0	0.620614488	0.208557386	0.209302477	0.19424152	0.24639271	0.0521511907	0	0	0	0	0	3
47	42	0	0.634106108	0.208744252	0.208311728	0.19424152	0.242070207	0.0478286869	0	0	0	0	0	3
48	42	0	0.647597727	0.2091034	0.207460435	0.19424152	0.242070207	0.0478286869	0	0	0	0	0	3
49	43	0	0.661089346	0.20889117	0.206587303	0.19424152	0.236866012	0.0426244924	0	0	0	0	0	3
50	44	0	0.674580966	0.209003033	0.205854066	0.19424152	0.236081241	0.041839721	0	0	0	0	0	3
51	45	0	0.688072585	0.20871614	0.205133932	0.19424152	0.230830797	0.0365892774	0	0	0	0	0	3
52	46	0	0.701564204	0.20874721	0.204552785	0.19424152	0.229879561	0.0356380414	0	0	0	0	0	3
53	47	0	0.715055824	0.208014193	0.203977381	0.19424152	0.225293864	0.0310523439	0	0	0	0	0	3
54	48	0	0.728547443	0.207868788	0.203518826	0.19424152	0.222505978	0.0282644582	0	0	0	0	0	3
55	49	0	0.742039062	0.207096898	0.203113324	0.19424152	0.21831437	0.0240728506	0	0	0	0	0	3
56	50	0	0.755530682	0.206466429	0.202801536	0.19424152	0.21447584	0.02023432	0	0	0	0	0	3
57	51	0	0.769022301	0.205530254	0.202566126	0.19424152	0.212379819	0.0181382993	0	0	0	0	0	3
58	51	0	0.78251392	0.204777666	0.202366069	0.19424152	0.20969615	0.0154546307	0	0	0	0	0	3
