Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0134916193	1727.28056	1727.28056	1727.28056	1727.28056	0	0	0	0	0	0	3
2	4	0	0.0269832386	518.604922	1122.94274	518.604922	1727.28056	604.337817	0	0	0	0	0	3
3	5	0	0.0404748579	264.034774	836.640085	264.034774	1727.28056	890.640472	0	0	0	0	0	3
4	6	0	0.0539664773	43.2392866	638.289885	43.2392866	1727.28056	1088.99067	0	0	0	0	0	3
5	7	0	0.0674580966	152.691303	541.170169	43.2392866	1727.28056	1186.11039	0	0	0	0	0	3
6	8	0	0.0809497159	85.4672191	465.219677	43.2392866	1727.28056	1262.06088	0	0	0	0	0	3
7	8	0	0.0944413352	98.1229291	412.777284	43.2392866	1727.28056	1314.50327	0	0	0	0	0	3
8	9	0	0.107932955	93.8789091	372.914988	43.2392866	1727.28056	1354.36557	0	0	0	0	0	3
9	10	0	0.121424574	96.5859424	342.21176	43.2392866	1727.28056	1385.0688	0	0	0	0	0	3
10	11	0	0.134916193	94.6493915	317.455523	43.2392866	1727.28056	1409.82503	0	0	0	0	0	3
11	11	0	0.148407812	94.891521	297.222432	43.2392866	1727.28056	1430.05812	0	0	0	0	0	3
12	12	0	0.161899432	92.8514767	280.191519	43.2392866	1727.28056	1447.08904	0	0	0	0	0	3
13	13	0	0.175391051	92.5438463	265.757083	43.2392866	1727.28056	1461.52347	0	0	0	0	0	3
14	14	0	0.18888267	90.4856724	253.237696	43.2392866	1727.28056	1474.04286	0	0	0	0	0	3
15	15	0	0.20237429	90.1127879	242.362703	43.2392866	1727.28056	1484.91785	0	0	0	0	0	3
16	15	0	0.215865909	88.3151945	232.734733	43.2392866	1727.28056	1494.54582	0	0	0	0	0	3
17	16	0	0.229357528	87.2223433	224.175181	43.2392866	1727.28056	1503.10538	0	0	0	0	0	3
18	17	0	0.242849148	85.5792331	216.475406	43.2392866	1727.28056	1510.80515	0	0	0	0	0	3
19	18	0	0.256340767	84.0745291	209.506939	43.2392866	1727.28056	1517.77362	0	0	0	0	0	3
20	19	0	0.269832386	83.252889	203.194236	43.2392866	1727.28056	1524.08632	0	0	0	0	0	3
21	20	0	0.283324006	82.2008909	197.432649	43.2392866	1727.28056	1529.84791	0	0	0	0	0	3
22	20	0	0.296815625	80.4728284	192.116293	43.2392866	1727.28056	1535.16426	0	0	0	0	0	3
23	21	0	0.310307244	79.8744719	187.236214	43.2392866	1727.28056	1540.04434	0	0	0	0	0	3
24	22	0	0.323798864	78.374201	182.700297	43.2392866	1727.28056	1544.58026	0	0	0	0	0	3
25	23	0	0.337290483	77.947903	178.510201	43.2392866	1727.28056	1548.77036	0	0	0	0	0	3
26	24	0	0.350782102	77.1486462	174.61168	43.2392866	1727.28056	1552.66888	0	0	0	0	0	3
27	25	0	0.364273722	76.783283	170.988406	43.2392866	1727.28056	1556.29215	0	0	0	0	0	3
28	25	0	0.377765341	76.5671159	167.616217	43.2392866	1727.28056	1559.66434	0	0	0	0	0	3
29	26	0	0.39125696	76.608903	164.478033	43.2392866	1727.28056	1562.80252	0	0	0	0	0	3
30	27	0	0.404748579	76.1426757	161.533522	43.2392866	1727.28056	1565.74704	0	0	0	0	0	3
31	28	0	0.418240199	76.2002658	158.780836	43.2392866	1727.28056	1568.49972	0	0	0	0	0	3
