Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0134916193	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.0269832386	0	0	0	0	0	0	0	0	0	0	3
3	5	0	0.0404748579	0	0	0	0	0	0	0	0	0	0	3
4	6	0	0.0539664773	0	0	0	0	0	0	0	0	0	0	3
5	7	0	0.0674580966	0	0	0	0	0	0	0	0	0	0	3
6	8	0	0.0809497159	0	0	0	0	0	0	0	0	0	0	3
7	8	0	0.0944413352	0	0	0	0	0	0	0	0	0	0	3
8	9	0	0.107932955	0	0	0	0	0	0	0	0	0	0	3
9	10	0	0.121424574	0	0	0	0	0	0	0	0	0	0	3
10	11	0	0.134916193	0	0	0	0	0	0	0	0	0	0	3
11	11	0	0.148407812	0	0	0	0	0	0	0	0	0	0	3
12	12	0	0.161899432	0	0	0	0	0	0	0	0	0	0	3
13	13	0	0.175391051	0	0	0	0	0	0	0	0	0	0	3
14	14	0	0.18888267	0	0	0	0	0	0	0	0	0	0	3
15	15	0	0.20237429	0	0	0	0	0	0	0	0	0	0	3
16	15	0	0.215865909	0	0	0	0	0	0	0	0	0	0	3
17	16	0	0.229357528	0	0	0	0	0	0	0	0	0	0	3
18	17	0	0.242849148	0	0	0	0	0	0	0	0	0	0	3
19	18	0	0.256340767	0	0	0	0	0	0	0	0	0	0	3
20	19	0	0.269832386	0	0	0	0	0	0	0	0	0	0	3
21	20	0	0.283324006	0	0	0	0	0	0	0	0	0	0	3
22	20	0	0.296815625	0	0	0	0	0	0	0	0	0	0	3
23	21	0	0.310307244	0	0	0	0	0	0	0	0	0	0	3
24	22	0	0.323798864	0	0	0	0	0	0	0	0	0	0	3
25	23	0	0.337290483	0	0	0	0	0	0	0	0	0	0	3
26	24	0	0.350782102	0	0	0	0	0	0	0	0	0	0	3
27	25	0	0.364273722	0	0	0	0	0	0	0	0	0	0	3
28	25	0	0.377765341	0	0	0	0	0	0	0	0	0	0	3
29	26	0	0.39125696	0	0	0	0	0	0	0	0	0	0	3
30	27	0	0.404748579	0	0	0	0	0	0	0	0	0	0	3
31	28	0	0.418240199	0	0	0	0	0	0	0	0	0	0	3
32	29	0	0.431731818	0	0	0	0	0	0	0	0	0	0	3
33	30	0	0.445223437	0	0	0	0	0	0	0	0	0	0	3
34	30	0	0.458715057	0	0	0	0	0	0	0	0	0	0	3
35	31	0	0.472206676	0	0	0	0	0	0	0	0	0	0	3
36	32	0	0.485698295	0	0	0	0	0	0	0	0	0	0	3
37	33	0	0.499189915	0	0	0	0	0	0	0	0	0	0	3
38	34	0	0.512681534	0	0	0	0	0	0	0	0	0	0	3
39	34	0	0.526173153	0	0	0	0	0	0	0	0	0	0	3
40	35	0	0.539664773	0	0	0	0	0	0	0	0	0	0	3
41	36	0	0.553156392	0	0	0	0	0	0	0	0	0	0	3
42	37	0	0.566648011	0	0	0	0	0	0	0	0	0	0	3
43	38	0	0.580139631	0	0	0	0	0	0	0	0	0	0	3
44	39	0	0.59363125	0	0	0	0	0	0	0	0	0	0	3
45	40	0	0.607122869	0	0	0	0	0	0	0	0	0	0	3
46	41	0	0.620614488	0	0	0	0	0	0	0	0	0	0	3
47	42	0	0.634106108	0	0	0	0	0	0	0	0	0	0	3
48	42	0	0.647597727	0	0	0	0	0	0	0	0	0	0	3
49	43	0	0.661089346	0	0	0	0	0	0	0	0	0	0	3
50	44	0	0.674580966	0	0	0	0	0	0	0	0	0	0	3
51	45	0	0.688072585	0	0	0	0	0	0	0	0	0	0	3
52	46	0	0.701564204	0	0	0	0	0	0	0	0	0	0	3
53	47	0	0.715055824	0	0	0	0	0	0	0	0	0	0	3
54	48	0	0.728547443	0	0	0	0	0	0	0	0	0	0	3
55	49	0	0.742039062	0	0	0	0	0	0	0	0	0	0	3
56	50	0	0.755530682	0	0	0	0	0	0	0	0	0	0	3
57	51	0	0.769022301	0	0	0	0	0	0	0	0	0	0	3
58	51	0	0.78251392	0	0	0	0	0	0	0	0	0	0	3
59	52	0	0.79600554	0	0	0	0	0	0	0	0	0	0	3
60	53	0	0.809497159	0	0	0	0	0	0	0	0	0	0	3
61	54	0	0.822988778	0	0	0	0	0	0	0	0	0	0	3
62	55	0	0.836480398	0	0	0	0	0	0	0	0	0	0	3
63	56	0	0.849972017	0	0	0	0	0	0	0	0	0	0	3
64	57	0	0.863463636	0	0	0	0	0	0	0	0	0	0	3
65	58	0	0.876955255	0	0	0	0	0	0	0	0	0	0	3
66	59	0	0.890446875	0	0	0	0	0	0	0	0	0	0	3
67	60	0	0.903938494	0	0	0	0	0	0	0	0	0	0	3
68	61	0	0.917430113	0	0	0	0	0	0	0	0	0	0	3
69	61	0	0.930921733	0	0	0	0	0	0	0	0	0	0	3
70	62	0	0.944413352	0	0	0	0	0	0	0	0	0	0	3
71	63	0	0.957904971	0	0	0	0	0	0	0	0	0	0	3
72	64	0	0.971396591	0	0	0	0	0	0	0	0	0	0	3
73	65	0	0.98488821	0	0	0	0	0	0	0	0	0	0	3
74	66	0	0.998379829	0	0	0	0	0	0	0	0	0	0	3
75	67	0	1.01187145	0	0	0	0	0	5e-06	0	0	0	0	3
