Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0134916193	101331.533	101331.533	101331.533	101331.533	0	0	0	0	0	0	3
2	4	0	0.0269832386	101326.543	101329.038	101326.543	101331.533	2.49496375	0	0	0	0	0	3
3	5	0	0.0404748579	101325.752	101327.943	101325.752	101331.533	3.59031294	0	0	0	0	0	3
4	6	0	0.0539664773	101325.35	101327.295	101325.35	101331.533	4.23855524	0	0	0	0	0	3
5	7	0	0.0674580966	101325.547	101326.945	101325.35	101331.533	4.58801081	0	0	0	0	0	3
6	8	0	0.0809497159	101325.444	101326.695	101325.35	101331.533	4.8382711	0	0	0	0	0	3
7	8	0	0.0944413352	101325.579	101326.536	101325.35	101331.533	4.99773027	0	0	0	0	0	3
8	9	0	0.107932955	101325.529	101326.41	101325.35	101331.533	5.12349699	0	0	0	0	0	3
9	10	0	0.121424574	101325.596	101326.319	101325.35	101331.533	5.21388819	0	0	0	0	0	3
10	11	0	0.134916193	101325.524	101326.24	101325.35	101331.533	5.29341753	0	0	0	0	0	3
11	11	0	0.148407812	101325.58	101326.18	101325.35	101331.533	5.35345182	0	0	0	0	0	3
12	12	0	0.161899432	101325.51	101326.124	101325.35	101331.533	5.40923962	0	0	0	0	0	3
13	13	0	0.175391051	101325.553	101326.08	101325.35	101331.533	5.45319208	0	0	0	0	0	3
14	14	0	0.18888267	101325.475	101326.037	101325.35	101331.533	5.49639378	0	0	0	0	0	3
15	15	0	0.20237429	101325.518	101326.002	101325.35	101331.533	5.53098026	0	0	0	0	0	3
16	15	0	0.215865909	101325.46	101325.968	101325.35	101331.533	5.56486748	0	0	0	0	0	3
17	16	0	0.229357528	101325.476	101325.939	101325.35	101331.533	5.59382899	0	0	0	0	0	3
18	17	0	0.242849148	101325.431	101325.911	101325.35	101331.533	5.62208113	0	0	0	0	0	3
19	18	0	0.256340767	101325.432	101325.886	101325.35	101331.533	5.64728323	0	0	0	0	0	3
