Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0134916193	293.200171	293.200171	293.200171	293.200171	0	0	0	0	0	0	3
2	4	0	0.0269832386	293.200144	293.200158	293.200144	293.200171	1.35741912e-05	0	0	0	0	0	3
3	5	0	0.0404748579	293.200103	293.20014	293.200103	293.200171	3.1735507e-05	0	0	0	0	0	3
4	6	0	0.0539664773	293.200155	293.200144	293.200103	293.200171	3.1735507e-05	0	0	0	0	0	3
5	7	0	0.0674580966	293.200128	293.200141	293.200103	293.200171	3.1735507e-05	0	0	0	0	0	3
6	8	0	0.0809497159	293.200148	293.200142	293.200103	293.200171	3.1735507e-05	0	0	0	0	0	3
7	8	0	0.0944413352	293.200128	293.20014	293.200103	293.200171	3.1735507e-05	0	0	0	0	0	3
8	9	0	0.107932955	293.200118	293.200137	293.200103	293.200171	3.43576274e-05	0	0	0	0	0	3
9	10	0	0.121424574	293.200107	293.200134	293.200103	293.200171	3.77293315e-05	0	0	0	0	0	3
10	11	0	0.134916193	293.200097	293.20013	293.200097	293.200171	4.14235151e-05	0	0	0	0	0	3
11	11	0	0.148407812	293.200096	293.200127	293.200096	293.200171	4.45112511e-05	0	0	0	0	0	3
12	12	0	0.161899432	293.200098	293.200125	293.200096	293.200171	4.69399618e-05	0	0	0	0	0	3
13	13	0	0.175391051	293.200106	293.200123	293.200096	293.200171	4.84046744e-05	0	0	0	0	0	3
14	14	0	0.18888267	293.200114	293.200122	293.200096	293.200171	4.90562124e-05	0	0	0	0	0	3
15	15	0	0.20237429	293.200127	293.200123	293.200096	293.200171	4.90562124e-05	0	0	0	0	0	3
16	15	0	0.215865909	293.200145	293.200124	293.200096	293.200171	4.90562124e-05	0	0	0	0	0	3
17	16	0	0.229357528	293.200165	293.200127	293.200096	293.200171	4.90562124e-05	0	0	0	0	0	3
18	17	0	0.242849148	293.200179	293.200129	293.200096	293.200179	4.90562124e-05	0	0	0	0	0	3
