Iteration	CPUTime	PhysTime	Travels
1	4	0	0.0134916193
2	4	0	0.0269832386
3	5	0	0.0404748579
4	6	0	0.0539664773
5	7	0	0.0674580966
6	8	0	0.0809497159
7	8	0	0.0944413352
8	9	0	0.107932955
9	10	0	0.121424574
10	11	0	0.134916193
11	11	0	0.148407812
12	12	0	0.161899432
13	13	0	0.175391051
14	14	0	0.18888267
15	15	0	0.20237429
16	15	0	0.215865909
17	16	0	0.229357528
18	17	0	0.242849148
19	18	0	0.256340767
20	19	0	0.269832386
21	20	0	0.283324006
22	20	0	0.296815625
23	21	0	0.310307244
24	22	0	0.323798864
25	23	0	0.337290483
26	24	0	0.350782102
27	25	0	0.364273722
28	25	0	0.377765341
29	26	0	0.39125696
30	27	0	0.404748579
31	28	0	0.418240199
32	29	0	0.431731818
33	30	0	0.445223437
34	30	0	0.458715057
35	31	0	0.472206676
36	32	0	0.485698295
37	33	0	0.499189915
38	34	0	0.512681534
39	34	0	0.526173153
40	35	0	0.539664773
41	36	0	0.553156392
42	37	0	0.566648011
43	38	0	0.580139631
44	39	0	0.59363125
45	40	0	0.607122869
46	41	0	0.620614488
47	42	0	0.634106108
48	42	0	0.647597727
49	43	0	0.661089346
50	44	0	0.674580966
51	45	0	0.688072585
52	46	0	0.701564204
53	47	0	0.715055824
54	48	0	0.728547443
55	49	0	0.742039062
56	50	0	0.755530682
57	51	0	0.769022301
58	51	0	0.78251392
59	52	0	0.79600554
60	53	0	0.809497159
61	54	0	0.822988778
62	55	0	0.836480398
63	56	0	0.849972017
64	57	0	0.863463636
65	58	0	0.876955255
66	59	0	0.890446875
67	60	0	0.903938494
68	61	0	0.917430113
69	61	0	0.930921733
70	62	0	0.944413352
71	63	0	0.957904971
72	64	0	0.971396591
73	65	0	0.98488821
74	66	0	0.998379829
75	67	0	1.01187145
