Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	293.199974	293.199974	293.199974	293.199974	0	0	0	0	0	0	3
2	2	0	0.05	293.199974	293.199974	293.199974	293.199974	9.84763915e-08	0	0	0	0	0	3
3	2	0	0.075	293.199975	293.199974	293.199974	293.199975	1.95382938e-07	0	0	0	0	0	3
4	2	0	0.1	293.199975	293.199974	293.199974	293.199975	2.90448611e-07	0	0	0	0	0	3
5	3	0	0.125	293.199975	293.199975	293.199974	293.199975	3.84347629e-07	0	0	0	0	0	3
6	3	0	0.15	293.199975	293.199975	293.199974	293.199975	4.93425318e-07	0	0	0	0	0	3
7	3	0	0.175	293.199975	293.199975	293.199974	293.199975	6.12534336e-07	0	0	0	0	0	3
8	3	0	0.2	293.199976	293.199975	293.199974	293.199976	7.36322136e-07	0	0	0	0	0	3
9	3	0	0.225	293.199976	293.199975	293.199974	293.199976	8.60437524e-07	0	0	0	0	0	3
10	4	0	0.25	293.199976	293.199975	293.199974	293.199976	9.80402831e-07	0	0	0	0	0	3
11	4	0	0.275	293.199976	293.199975	293.199974	293.199976	1.06078863e-06	0	0	0	0	0	3
12	4	0	0.3	293.199977	293.199975	293.199974	293.199977	1.24739313e-06	0	0	0	0	0	3
13	4	0	0.325	293.199977	293.199975	293.199974	293.199977	1.33740502e-06	0	0	0	0	0	3
14	5	0	0.35	293.199971	293.199975	293.199971	293.199977	1.33740502e-06	0	0	0	0	0	3
15	5	0	0.375	293.199956	293.199974	293.199956	293.199977	1.5987215e-06	0	0	0	0	0	3
16	5	0	0.4	293.199886	293.199968	293.199886	293.199977	7.07560304e-06	0	0	0	0	0	3
17	5	0	0.425	293.199753	293.199956	293.199753	293.199977	1.97420651e-05	0	0	0	0	0	3
18	6	0	0.45	293.199548	293.199933	293.199548	293.199977	4.24041915e-05	0	0	0	0	0	3
19	6	0	0.475	293.199273	293.199898	293.199273	293.199977	7.71525317e-05	0	0	0	0	0	3
20	6	0	0.5	293.198953	293.199851	293.198953	293.199977	0.000124415063	0	0	0	0	0	3
21	6	0	0.525	293.198553	293.19978	293.198553	293.199977	0.00019546533	0	0	0	0	0	3
22	6	0	0.55	293.198368	293.1997	293.198368	293.199977	0.00027577316	0	0	0	0	0	3
23	7	0	0.575	293.198485	293.199625	293.198368	293.199977	0.000350239848	0	0	0	0	0	3
24	7	0	0.6	293.198895	293.199571	293.198368	293.199977	0.000404240249	0	0	0	0	0	3
25	7	0	0.625	293.199534	293.199549	293.198368	293.199977	0.00042627965	0	0	0	0	0	3
26	7	0	0.65	293.200685	293.199585	293.198368	293.200685	0.00042627965	0	0	0	0	0	3
27	8	0	0.675	293.201753	293.199674	293.198368	293.201753	0.00042627965	0	0	0	0	0	3
28	8	0	0.7	293.202625	293.199806	293.198368	293.202625	0.00042627965	0	0	0	0	0	3
29	8	0	0.725	293.203279	293.199971	293.198368	293.203279	0.00042627965	0	0	0	0	0	3
30	8	0	0.75	293.203744	293.20016	293.198368	293.203744	0.00061035724	0	0	0	0	0	3
31	9	0	0.775	293.204177	293.20037	293.198368	293.204177	0.000820398714	0	0	0	0	0	3
32	9	0	0.8	293.204451	293.200593	293.198368	293.204451	0.00104408593	0	0	0	0	0	3
33	9	0	0.825	293.204629	293.200826	293.198368	293.204629	0.00127669074	0	0	0	0	0	3
34	9	0	0.85	293.204752	293.201065	293.198368	293.204752	0.00151572804	0	0	0	0	0	3
35	9	0	0.875	293.204845	293.201309	293.198368	293.204845	0.00176020027	0	0	0	0	0	3
36	10	0	0.9	293.20497	293.201564	293.198368	293.20497	0.00201438621	0	0	0	0	0	3
37	10	0	0.925	293.205092	293.201831	293.198368	293.205092	0.0022813155	0	0	0	0	0	3
38	10	0	0.95	293.205217	293.202114	293.198368	293.205217	0.00256477247	0	0	0	0	0	3
39	10	0	0.975	293.20535	293.202418	293.198368	293.20535	0.00286860576	0	0	0	0	0	3
40	11	0	1	293.20549	293.202745	293.198368	293.20549	0.00319546109	0.000954205631	0	29.8	0	0	3
41	11	0	1.025	293.20572	293.203103	293.198368	293.20572	0.00355381188	0.000985016961	0	27.7	0	0	3
42	11	0	1.05	293.205964	293.203483	293.198485	293.205964	0.00393361755	0.00100137211	0	25.4	0	0	3
43	11	0	1.075	293.206216	293.203869	293.198895	293.206216	0.00432017375	0.0010180793	0	23.5	0	0	3
44	11	0	1.1	293.206473	293.203993	293.198895	293.206473	0.00444414904	0.00103502547	0	23.2	0	0	3
45	12	0	1.125	293.206727	293.204366	293.199534	293.206727	0.00481712267	0.00105200743	0	21.8	0	0	3
46	12	0	1.15	293.206979	293.204721	293.200685	293.206979	0.00513618556	0.0010689607	0	20.8	0	0	3
47	12	0	1.175	293.207225	293.205032	293.201753	293.207225	0.00535876878	0.0010857731	0	20.2	0	0	3
48	12	0	1.2	293.207463	293.205304	293.202625	293.207463	0.00483742483	0.00110236025	0	22.7	0	0	3
49	13	0	1.225	293.207689	293.205545	293.203279	293.207689	0.00441013638	0.00111863146	0	25.3	0	0	3
50	13	0	1.25	293.207904	293.205766	293.203744	293.207904	0.00415954468	0.00113452677	0	27.2	0	0	3
51	13	0	1.275	293.208108	293.205973	293.204177	293.208108	0.00393085625	0.0011500152	0	29.2	0	0	3
52	13	0	1.3	293.208302	293.20617	293.204451	293.208302	0.00385101166	0.00116509389	0	30.2	0	0	3
53	14	0	1.325	293.208486	293.206362	293.204629	293.208486	0.00385730134	0.00117974663	0	30.5	0	0	3
54	14	0	1.35	293.208659	293.206554	293.204752	293.208659	0.00390690003	0.00119395913	0	30.5	0	0	3
55	14	0	1.375	293.208822	293.206748	293.204845	293.208822	0.00397672377	0.0012077363	0	30.3	0	0	3
56	14	0	1.4	293.208979	293.206944	293.20497	293.208979	0.00400863103	0.00122110177	0	30.4	0	0	3
57	14	0	1.425	293.209128	293.207142	293.205092	293.209128	0.00403649015	0.00123407346	0	30.5	0	0	3
58	15	0	1.45	293.20927	293.207341	293.205217	293.20927	0.00405313483	0.00124666038	0	30.7	0	0	3
59	15	0	1.475	293.209402	293.207541	293.20535	293.209402	0.00405281531	0.00125885489	0	31	0	0	3
60	15	0	1.5	293.209533	293.20774	293.20549	293.209533	0.00404274394	0.00127070477	0	31.4	0	0	3
61	15	0	1.525	293.209663	293.207939	293.20572	293.209663	0.00394265673	0.00128225474	0	32.5	0	0	3
62	16	0	1.55	293.209788	293.208132	293.205964	293.209788	0.00382411897	0.00129351965	0	33.8	0	0	3
63	16	0	1.575	293.209903	293.20832	293.206216	293.209903	0.00368701642	0.00130379282	0	35.3	0	0	3
64	16	0	1.6	293.210016	293.208501	293.206473	293.210016	0.00354267433	0.00131155009	0	37	0	0	3
65	16	0	1.625	293.210131	293.208675	293.206727	293.210131	0.00340377245	0.00131587853	0	38.6	0	0	3
66	17	0	1.65	293.210247	293.208843	293.206979	293.210247	0.00326786114	0.00131454457	0	40.2	0	0	3
67	17	0	1.675	293.210355	293.209003	293.207225	293.210355	0.00312955474	0.001308542	0	41.8	0	0	3
68	17	0	1.7	293.210453	293.209157	293.207463	293.210453	0.00299032605	0.00129926414	0	43.4	0	0	3
69	17	0	1.725	293.210553	293.209304	293.207689	293.210553	0.00286377896	0.00128806742	0	44.9	0	0	3
70	18	0	1.75	293.210661	293.209446	293.207904	293.210661	0.00275731773	0.00127602254	0	46.2	0	0	3
71	18	0	1.775	293.210772	293.209582	293.208108	293.210772	0.00266392178	0.00126336273	0	47.4	0	0	3
72	18	0	1.8	293.210867	293.209714	293.208302	293.210867	0.00256474745	0.00125074463	0	48.7	0	0	3
73	18	0	1.825	293.210955	293.20984	293.208486	293.210955	0.00246925256	0.00123852909	0	50.1	0	0	3
74	18	0	1.85	293.211052	293.209962	293.208659	293.211052	0.00239295859	0.00122692691	0	51.2	0	0	3
75	19	0	1.875	293.21116	293.210081	293.208822	293.21116	0.00233839619	0.00121604613	0	52	0	0	3
76	19	0	1.9	293.211263	293.210198	293.208979	293.211263	0.00228467385	0.00120568866	0	52.7	0	0	3
77	19	0	1.925	293.211348	293.21031	293.209128	293.211348	0.00221973926	0.00119575679	0	53.8	0	0	3
78	19	0	1.95	293.211429	293.21042	293.20927	293.211429	0.00215940042	0.0011861936	0	54.9	0	0	3
79	20	0	1.975	293.211521	293.210527	293.209402	293.211521	0.00211848629	0.00117697917	0	55.5	0	0	3
80	20	0	2	293.211621	293.210633	293.209533	293.211621	0.00208779296	0.00116808893	0	55.9	0	0	3
81	20	0	2.025	293.211706	293.210736	293.209663	293.211706	0.00204269621	0.00115915792	0	56.7	0	0	3
82	20	0	2.05	293.211775	293.210837	293.209788	293.211775	0.00198626737	0.00115009405	0	57.9	0	0	3
83	21	0	2.075	293.211843	293.210935	293.209903	293.211843	0.00193971826	0.00114087954	0	58.8	0	0	3
84	21	0	2.1	293.211921	293.211031	293.210016	293.211921	0.0019051713	0.00113153915	0	59.3	0	0	3
85	21	0	2.125	293.211999	293.211125	293.210131	293.211999	0.0018677083	0.00112208879	0	60	0	0	3
86	21	0	2.15	293.212065	293.211217	293.210247	293.212065	0.00181757232	0.00111250743	0	61.2	0	0	3
87	21	0	2.175	293.212116	293.211306	293.210355	293.212116	0.0017616567	0.00110278013	0	62.5	0	0	3
88	22	0	2.2	293.212175	293.211393	293.210453	293.212175	0.00172203495	0.00109295893	0	63.4	0	0	3
89	22	0	2.225	293.212247	293.211478	293.210553	293.212247	0.00169435877	0.00108311689	0	63.9	0	0	3
90	22	0	2.25	293.212311	293.211562	293.210661	293.212311	0.00165023773	0.00107326504	0	65	0	0	3
91	22	0	2.275	293.212367	293.211643	293.210772	293.212367	0.00159531543	0.00106340989	0	66.6	0	0	3
92	23	0	2.3	293.212415	293.211722	293.210867	293.212415	0.00154820855	0.00105355689	0	68	0	0	3
93	23	0	2.325	293.212473	293.211798	293.210955	293.212473	0.00151784892	0.00104375755	0	68.7	0	0	3
94	23	0	2.35	293.212541	293.211874	293.211052	293.212541	0.00148957868	0.00103406172	0	69.4	0	0	3
95	23	0	2.375	293.212599	293.211947	293.21116	293.212599	0.00143811341	0.00102446017	0	71.2	0	0	3
96	24	0	2.4	293.212642	293.212018	293.211263	293.212642	0.00137862906	0.00101493069	0	73.6	0	0	3
97	24	0	2.425	293.212684	293.212086	293.211348	293.212684	0.00133638836	0.00100548366	0	75.2	0	0	3
98	24	0	2.45	293.212737	293.212152	293.211429	293.212737	0.0013072212	0.000996155633	0	76.2	0	0	3
99	25	0	2.475	293.212793	293.212217	293.211521	293.212793	0.00127261821	0.00098697232	0	77.5	0	0	3
100	25	0	2.5	293.212844	293.21228	293.211621	293.212844	0.00122372945	0.000977917411	0	79.9	0	0	3
101	25	0	2.525	293.212883	293.21234	293.211706	293.212883	0.00117720433	0.000968958146	0	82.3	0	0	3
102	25	0	2.55	293.212926	293.212398	293.211775	293.212926	0.00115098757	0.000960109296	0	83.4	0	0	3
103	26	0	2.575	293.212983	293.212455	293.211843	293.212983	0.00114026681	0.000954205631	0	83.6	0	0	3
104	26	0	2.6	293.213037	293.212512	293.211921	293.213037	0.00111608744	0.000954205631	0	85.4	0	0	3
105	26	0	2.625	293.213082	293.212568	293.211999	293.213082	0.00108373601	0.000954205631	0	88	0	0	3
106	26	0	2.65	293.213121	293.212621	293.212065	293.213121	0.0010566534	0.000954205631	0	90.3	0	0	3
107	27	0	2.675	293.213167	293.212674	293.212116	293.213167	0.0010505039	0.000954205631	0	90.8	0	0	3
108	27	0	2.7	293.213227	293.212726	293.212175	293.213227	0.00105211701	0.000954205631	0	90.6	0	0	3
109	27	0	2.725	293.213278	293.212779	293.212247	293.213278	0.00103055744	0.000954205631	0	92.5	0	0	3
110	27	0	2.75	293.21332	293.21283	293.212311	293.21332	0.00100818812	0.000954205631	0	94.6	0	0	3
111	28	0	2.775	293.213359	293.21288	293.212367	293.213359	0.000991998019	0.000954205631	0	96.1	0	0	3
112	28	0	2.8	293.213408	293.212929	293.212415	293.213408	0.000992566693	0.000954205631	0	96.1	0	0	3
113	28	0	2.825	293.213463	293.212979	293.212473	293.213463	0.000990170473	0.000954205631	0	96.3	0	0	3
114	29	0	2.85	293.213512	293.213029	293.212541	293.213512	0.000971187596	0.000954205631	0	98.2	0	0	3
115	29	0	2.875	293.213547	293.213077	293.212599	293.213547	0.000948051345	0.000954205631	0	100	0	0	3
