Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	8.02972239	8.02972239	8.02972239	8.02972239	0	0	0	0	0	0	3
2	2	0	0.05	8.02972348	8.02972293	8.02972239	8.02972348	5.4612763e-07	0	0	0	0	0	3
3	2	0	0.075	8.0297232	8.02972302	8.02972239	8.02972348	6.36091626e-07	0	0	0	0	0	3
4	2	0	0.1	8.02972304	8.02972303	8.02972239	8.02972348	6.40998923e-07	0	0	0	0	0	3
5	3	0	0.125	8.02972311	8.02972304	8.02972239	8.02972348	6.56833778e-07	0	0	0	0	0	3
6	3	0	0.15	8.02972307	8.02972305	8.02972239	8.02972348	6.6057137e-07	0	0	0	0	0	3
7	3	0	0.175	8.02972307	8.02972305	8.02972239	8.02972348	6.64238742e-07	0	0	0	0	0	3
8	3	0	0.2	8.02972312	8.02972306	8.02972239	8.02972348	6.73185598e-07	0	0	0	0	0	3
9	3	0	0.225	8.02972299	8.02972305	8.02972239	8.02972348	6.73185598e-07	0	0	0	0	0	3
10	4	0	0.25	8.02972355	8.0297231	8.02972239	8.02972355	7.14750893e-07	0	0	0	0	0	3
11	4	0	0.275	8.02972359	8.02972315	8.02972239	8.02972359	7.59570952e-07	0	0	0	0	0	3
12	4	0	0.3	8.02972958	8.02972368	8.02972239	8.02972958	1.2960055e-06	0	0	0	0	0	3
13	4	0	0.325	8.02972416	8.02972372	8.02972239	8.02972958	1.33308392e-06	0	0	0	0	0	3
14	5	0	0.35	8.02973987	8.02972487	8.02972239	8.02973987	2.48654657e-06	0	0	0	0	0	3
15	5	0	0.375	8.02973002	8.02972522	8.02972239	8.02973987	2.82940563e-06	0	0	0	0	0	3
16	5	0	0.4	8.02981268	8.02973068	8.02972239	8.02981268	8.2959772e-06	0	0	0	0	0	3
17	5	0	0.425	8.02980318	8.02973495	8.02972239	8.02981268	1.25602347e-05	0	0	0	0	0	3
18	6	0	0.45	8.02989853	8.02974404	8.02972239	8.02989853	2.16481693e-05	0	0	0	0	0	3
19	6	0	0.475	8.02988226	8.02975131	8.02972239	8.02989853	2.89230833e-05	0	0	0	0	0	3
