Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	0.0426563604	0.0426563604	0.0426563604	0.0426563604	0	0	0	0	0	0	3
2	2	0	0.05	0.000202507501	0.0214294339	0.000202507501	0.0426563604	0.0212269264	0	0	0	0	0	3
3	2	0	0.075	-0.000180834336	0.0142260112	-0.000180834336	0.0426563604	0.0284303492	0	0	0	0	0	3
4	2	0	0.1	9.20380219e-05	0.0106925179	-0.000180834336	0.0426563604	0.0319638425	0	0	0	0	0	3
5	3	0	0.125	-4.43024668e-05	0.00854515381	-0.000180834336	0.0426563604	0.0341112065	0	0	0	0	0	3
6	3	0	0.15	6.55006387e-05	0.00713187828	-0.000180834336	0.0426563604	0.0355244821	0	0	0	0	0	3
7	3	0	0.175	-0.000100381885	0.00609869826	-0.000180834336	0.0426563604	0.0365576621	0	0	0	0	0	3
8	3	0	0.2	0.000138207065	0.00535363686	-0.000180834336	0.0426563604	0.0373027235	0	0	0	0	0	3
9	3	0	0.225	-0.000152548834	0.00474183845	-0.000180834336	0.0426563604	0.0379145219	0	0	0	0	0	3
10	4	0	0.25	0.00012349767	0.00428000437	-0.000180834336	0.0426563604	0.038376356	0	0	0	0	0	3
11	4	0	0.275	-0.000112536461	0.00388068248	-0.000180834336	0.0426563604	0.0387756779	0	0	0	0	0	3
12	4	0	0.3	6.04170182e-05	0.00356232702	-0.000180834336	0.0426563604	0.0390940333	0	0	0	0	0	3
13	4	0	0.325	-0.000226455242	0.00327088223	-0.000226455242	0.0426563604	0.0393854781	0	0	0	0	0	3
14	5	0	0.35	-0.00029709687	0.00301602658	-0.00029709687	0.0426563604	0.0396403338	0	0	0	0	0	3
15	5	0	0.375	-0.000792553041	0.00276212128	-0.000792553041	0.0426563604	0.0398942391	0	0	0	0	0	3
16	5	0	0.4	-0.000144961617	0.00258042859	-0.000792553041	0.0426563604	0.0400759318	0	0	0	0	0	3
17	5	0	0.425	-0.00400290672	0.00219317358	-0.00400290672	0.0426563604	0.0404631868	0	0	0	0	0	3
18	6	0	0.45	-0.0015607706	0.00198462112	-0.00400290672	0.0426563604	0.0406717392	0	0	0	0	0	3
19	6	0	0.475	-0.00347326144	0.00169736414	-0.00400290672	0.0426563604	0.0409589962	0	0	0	0	0	3
20	6	0	0.5	-0.000355541013	0.00159471889	-0.00400290672	0.0426563604	0.0410616415	0	0	0	0	0	3
21	6	0	0.525	-0.00172839937	-0.000624519099	-0.00400290672	0.000202507501	0.00420541422	0	0	0	0	0	3
22	6	0	0.55	5.42674392e-05	-0.000631931102	-0.00400290672	0.000138207065	0.00414111379	0	0	0	0	0	3
23	7	0	0.575	0.000564656964	-0.000594656537	-0.00400290672	0.000564656964	0.00456756369	0	0	0	0	0	3
24	7	0	0.6	0.00289235006	-0.000454640935	-0.00400290672	0.00289235006	0.00689525679	0	0	0	0	0	3
25	7	0	0.625	0.00304514356	-0.000300168634	-0.00400290672	0.00304514356	0.00704805029	0	0	0	0	0	3
26	7	0	0.65	0.00188875523	-0.000209005904	-0.00400290672	0.00304514356	0.00673062936	0	0	0	0	0	3
27	8	0	0.675	0.00270177871	-6.88978742e-05	-0.00400290672	0.00304514356	0.00598556796	0	0	0	0	0	3
28	8	0	0.7	0.00258765613	5.3574579e-05	-0.00400290672	0.00304514356	0.00537376955	0	0	0	0	0	3
29	8	0	0.725	0.00295636054	0.000209020048	-0.00400290672	0.00304514356	0.00491193547	0	0	0	0	0	3
30	8	0	0.75	0.00196156731	0.00030092353	-0.00400290672	0.00304514356	0.00451261358	0	0	0	0	0	3
31	9	0	0.775	0.00119395264	0.000366247985	-0.00400290672	0.00304514356	0.00419425813	0	0	0	0	0	3
32	9	0	0.8	0.000577644381	0.000392109353	-0.00400290672	0.00304514356	0.00390281334	0	0	0	0	0	3
33	9	0	0.825	0.000574671495	0.00043216569	-0.00400290672	0.00304514356	0.00364795769	0	0	0	0	0	3
34	9	0	0.85	0.000660953724	0.000480068219	-0.00400290672	0.00304514356	0.00339405238	0	0	0	0	0	3
35	9	0	0.875	0.000426135481	0.000541002645	-0.00400290672	0.00304514356	0.0032123597	0	0	0	0	0	3
36	10	0	0.9	3.57532022e-05	0.000550038386	-0.00400290672	0.00304514356	0.00282510468	0	0	0	0	0	3
37	10	0	0.925	-0.000216109202	0.000739378262	-0.00347326144	0.00304514356	0.00261655222	0	0	0	0	0	3
38	10	0	0.95	-0.000848807366	0.000774976424	-0.00347326144	0.00304514356	0.00232929525	0	0	0	0	0	3
39	10	0	0.975	-0.000760129148	0.000910633039	-0.00172839937	0.00304514356	0.00222664999	0	0	0	0	0	3
40	11	0	1	-0.000864207061	0.000885199736	-0.00172839937	0.00304514356	0.00154256414	13.4143147	0	0	0	0	3
41	11	0	1.025	-0.00026257219	0.000958491095	-0.000864207061	0.00304514356	0.0015904222	13.4143147	0	0	0	0	3
42	11	0	1.05	-0.000388794423	0.000936338002	-0.000864207061	0.00304514356	0.00155314763	13.4143147	0	0	0	0	3
43	11	0	1.075	0.000238102435	0.000920010276	-0.000864207061	0.00304514356	0.00141313203	13.4143147	0	0	0	0	3
44	11	0	1.1	0.000349519698	0.000892844058	-0.000864207061	0.00304514356	0.00141313203	13.4143147	0	0	0	0	3
45	12	0	1.125	0.00110203399	0.000807590911	-0.000864207061	0.00304514356	0.00125865973	13.4143147	0	0	0	0	3
46	12	0	1.15	-3.53548906e-05	0.000660900509	-0.000864207061	0.00295636054	0.001167497	13.4143147	0	0	0	0	3
47	12	0	1.175	0.000569639512	0.000598085475	-0.000864207061	0.00295636054	0.00102738897	13.4143147	0	0	0	0	3
48	12	0	1.2	-0.000181155293	0.000460802903	-0.000864207061	0.00295636054	0.000904916516	13.4143147	0	0	0	0	3
49	13	0	1.225	-0.000324252758	0.000322140575	-0.000864207061	0.00295636054	0.000749471047	13.4143147	0	0	0	0	3
50	13	0	1.25	-0.000820409982	0.00014229436	-0.000864207061	0.00196156731	0.000816196735	13.4143147	0	0	0	0	3
51	13	0	1.275	-0.000954366973	3.44034623e-06	-0.000954366973	0.00119395264	0.000955050749	13.4143147	0	0	0	0	3
52	13	0	1.3	-0.000614206478	-8.26624687e-05	-0.000954366973	0.00110203399	0.00104115356	13.4143147	0	0	0	0	3
53	14	0	1.325	-5.58525863e-05	-0.000112828991	-0.000954366973	0.00110203399	0.00107132009	13.4143147	0	0	0	0	3
54	14	0	1.35	-0.000166582982	-0.000148126823	-0.000954366973	0.00110203399	0.00110661792	13.4143147	0	0	0	0	3
55	14	0	1.375	-0.000665551229	-0.000211293726	-0.000954366973	0.00110203399	0.00116978482	13.4143147	0	0	0	0	3
56	14	0	1.4	0.000112389444	-0.000226234013	-0.000954366973	0.00110203399	0.00118472511	13.4143147	0	0	0	0	3
57	14	0	1.425	0.00102448052	-0.00017915176	-0.000954366973	0.00110203399	0.00118472511	13.4143147	0	0	0	0	3
58	15	0	1.45	0.000102712736	-0.000163969763	-0.000954366973	0.00110203399	0.00118472511	13.4143147	0	0	0	0	3
59	15	0	1.475	-0.00033996743	-0.00013973929	-0.000954366973	0.00110203399	0.00118472511	13.4143147	0	0	0	0	3
60	15	0	1.5	-0.000449580466	-0.000124951257	-0.000954366973	0.00110203399	0.00118472511	13.4143147	0	0	0	0	3
61	15	0	1.525	0.00171938713	-1.92296269e-06	-0.000954366973	0.00171938713	0.00118472511	13.4143147	0	0	0	0	3
62	16	0	1.55	0.00078730241	4.80710659e-05	-0.000954366973	0.00171938713	0.00116257202	13.4143147	0	0	0	0	3
63	16	0	1.575	6.67627632e-05	6.97642652e-05	-0.000954366973	0.00171938713	0.00114624429	13.4143147	0	0	0	0	3
64	16	0	1.6	-0.000875680193	1.67269972e-05	-0.000954366973	0.00171938713	0.00111907807	13.4143147	0	0	0	0	3
65	16	0	1.625	0.00014414943	6.94746065e-06	-0.000954366973	0.00171938713	0.00103382492	13.4143147	0	0	0	0	3
66	17	0	1.65	0.00128421221	1.56226141e-05	-0.000954366973	0.00171938713	0.000887134522	13.4143147	0	0	0	0	3
67	17	0	1.675	0.000856780538	5.81052535e-05	-0.000954366973	0.00171938713	0.000824319488	13.4143147	0	0	0	0	3
68	17	0	1.7	-0.000476969973	8.26670664e-06	-0.000954366973	0.00171938713	0.000687036916	13.4143147	0	0	0	0	3
69	17	0	1.725	-0.00170384384	-6.42422716e-05	-0.00170384384	0.00171938713	0.000548374588	13.4143147	0	0	0	0	3
70	18	0	1.75	0.00085263739	-8.19988359e-06	-0.00170384384	0.00171938713	0.000368528373	13.4143147	0	0	0	0	3
71	18	0	1.775	0.000974918051	7.72919275e-05	-0.00170384384	0.00171938713	0.000303525941	13.4143147	0	0	0	0	3
72	18	0	1.8	0.000234083525	0.000133884808	-0.00170384384	0.00171938713	0.000360118822	13.4143147	0	0	0	0	3
73	18	0	1.825	-0.00119436619	0.000106258156	-0.00170384384	0.00171938713	0.000360118822	13.4143147	0	0	0	0	3
74	18	0	1.85	-0.000365409136	9.15173675e-05	-0.00170384384	0.00171938713	0.000360118822	13.4143147	0	0	0	0	3
75	19	0	1.875	0.00118806132	0.000156024239	-0.00170384384	0.00171938713	0.000382258252	13.4143147	0	0	0	0	3
76	19	0	1.9	0.000630116178	0.000217722687	-0.00170384384	0.00171938713	0.0004439567	13.4143147	0	0	0	0	3
77	19	0	1.925	-0.000188301744	0.000203404059	-0.00170384384	0.00171938713	0.000396874447	13.4143147	0	0	0	0	3
78	19	0	1.95	-0.00121679184	9.66768042e-05	-0.00170384384	0.00171938713	0.00038169245	13.4143147	0	0	0	0	3
79	20	0	1.975	-0.000769412231	5.51470438e-05	-0.00170384384	0.00171938713	0.000357461977	13.4143147	0	0	0	0	3
80	20	0	2	0.00117956634	0.000127505795	-0.00170384384	0.00171938713	0.000342673945	13.4143147	0	0	0	0	3
81	20	0	2.025	0.00179965682	0.000234612332	-0.00170384384	0.00179965682	0.000298854604	13.4143147	0	0	0	0	3
82	20	0	2.05	-0.000718225926	0.00011853552	-0.00170384384	0.00179965682	0.000298854604	13.4143147	0	0	0	0	3
83	21	0	2.075	-0.0018442985	-6.77880897e-06	-0.0018442985	0.00179965682	0.000298854604	13.4143147	0	0	0	0	3
84	21	0	2.1	0.000253725218	2.12416506e-06	-0.0018442985	0.00179965682	0.000298854604	13.4143147	0	0	0	0	3
85	21	0	2.125	0.00103596734	9.31549999e-05	-0.0018442985	0.00179965682	0.000298854604	13.4143147	0	0	0	0	3
86	21	0	2.15	0.00101526422	0.000134636656	-0.0018442985	0.00179965682	0.000298854604	13.4143147	0	0	0	0	3
87	21	0	2.175	-0.000451279452	5.1994196e-05	-0.0018442985	0.00179965682	0.000298854604	13.4143147	0	0	0	0	3
88	22	0	2.2	-0.000547707433	-1.48861835e-05	-0.0018442985	0.00179965682	0.000298854604	13.4143147	0	0	0	0	3
89	22	0	2.225	0.00110320529	6.03602574e-05	-0.0018442985	0.00179965682	0.000298854604	13.4143147	0	0	0	0	3
90	22	0	2.25	0.000562629652	0.000168287566	-0.0018442985	0.00179965682	0.000249498516	13.4143147	0	0	0	0	3
91	22	0	2.275	-0.00079252163	8.99466606e-05	-0.0018442985	0.00179965682	0.000249498516	13.4143147	0	0	0	0	3
92	23	0	2.3	-0.00127411923	-1.71503528e-05	-0.0018442985	0.00179965682	0.000251762685	13.4143147	0	0	0	0	3
93	23	0	2.325	-0.000356766967	-4.52860905e-05	-0.0018442985	0.00179965682	0.000279898423	13.4143147	0	0	0	0	3
94	23	0	2.35	0.00151170078	8.35742411e-05	-0.0018442985	0.00179965682	0.000279898423	13.4143147	0	0	0	0	3
95	23	0	2.375	0.0017280651	0.000183263491	-0.0018442985	0.00179965682	0.000279898423	13.4143147	0	0	0	0	3
96	24	0	2.4	-0.000701997337	9.32606972e-05	-0.0018442985	0.00179965682	0.000279898423	13.4143147	0	0	0	0	3
97	24	0	2.425	-0.00202306266	-3.3081152e-05	-0.00202306266	0.00179965682	0.000279898423	13.4143147	0	0	0	0	3
98	24	0	2.45	-0.000139764236	-3.07698421e-05	-0.00202306266	0.00179965682	0.000279898423	13.4143147	0	0	0	0	3
99	25	0	2.475	0.000915179752	7.07526146e-05	-0.00202306266	0.00179965682	0.000279898423	13.4143147	0	0	0	0	3
100	25	0	2.5	0.00105114714	0.000157445918	-0.00202306266	0.00179965682	0.000279898423	13.4143147	0	0	0	0	3
101	25	0	2.525	-6.51318673e-05	9.81745745e-05	-0.00202306266	0.00179965682	0.000279898423	13.4143147	0	0	0	0	3
102	25	0	2.55	-0.000765388873	-2.39704583e-05	-0.00202306266	0.0017280651	0.000228549581	13.4143147	0	0	0	0	3
103	26	0	2.575	0.000769723303	4.68842669e-05	-0.00202306266	0.0017280651	0.000228549581	13.4143147	0	0	0	0	3
104	26	0	2.6	0.000518620016	0.000159404196	-0.00202306266	0.0017280651	0.000228549581	13.4143147	0	0	0	0	3
105	26	0	2.625	-0.000704748859	0.000113762573	-0.00202306266	0.0017280651	0.000228549581	13.4143147	0	0	0	0	3
106	26	0	2.65	-0.000730380339	2.96507792e-05	-0.00202306266	0.0017280651	0.000228549581	13.4143147	0	0	0	0	3
107	27	0	2.675	-0.00053988062	-4.44037368e-05	-0.00202306266	0.0017280651	0.000228549581	13.4143147	0	0	0	0	3
108	27	0	2.7	0.00149435298	4.82454268e-05	-0.00202306266	0.0017280651	0.000228549581	13.4143147	0	0	0	0	3
109	27	0	2.725	0.00146693586	0.000144180822	-0.00202306266	0.0017280651	0.000228549581	13.4143147	0	0	0	0	3
110	27	0	2.75	-0.000477850739	6.88924396e-05	-0.00202306266	0.0017280651	0.000228549581	13.4143147	0	0	0	0	3
111	28	0	2.775	-0.00185117665	-4.60507176e-05	-0.00202306266	0.0017280651	0.000229314208	13.4143147	0	0	0	0	3
112	28	0	2.8	-7.2886953e-05	-1.17823996e-05	-0.00202306266	0.0017280651	0.000229314208	13.4143147	0	0	0	0	3
113	28	0	2.825	0.00110914963	0.000101706594	-0.00202306266	0.0017280651	0.000229314208	13.4143147	0	0	0	0	3
114	29	0	2.85	0.00196833603	0.000212425784	-0.00202306266	0.00196833603	0.000258476502	13.4143147	0	0	0	0	3
115	29	0	2.875	1.7166834e-05	0.000141257501	-0.00202306266	0.00196833603	0.000258476502	13.4143147	0	0	0	0	3
