Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	195141.118	195141.118	195141.118	195141.118	0	0	0	0	0	0	3
2	2	0	0.05	145418.361	170279.74	145418.361	195141.118	24861.3785	0	0	0	0	0	3
3	2	0	0.075	170133.552	170231.01	145418.361	195141.118	24910.1076	0	0	0	0	0	3
4	2	0	0.1	138131.693	162206.181	138131.693	195141.118	32934.937	0	0	0	0	0	3
5	3	0	0.125	166113.225	162987.59	138131.693	195141.118	32934.937	0	0	0	0	0	3
6	3	0	0.15	140992.5	159321.742	138131.693	195141.118	35819.3764	0	0	0	0	0	3
7	3	0	0.175	160482.067	159487.502	138131.693	195141.118	35819.3764	0	0	0	0	0	3
8	3	0	0.2	146322.057	157841.822	138131.693	195141.118	37299.2964	0	0	0	0	0	3
9	3	0	0.225	159139.945	157986.058	138131.693	195141.118	37299.2964	0	0	0	0	0	3
10	4	0	0.25	152952.624	157482.714	138131.693	195141.118	37658.4037	0	0	0	0	0	3
11	4	0	0.275	157717.078	157504.02	138131.693	195141.118	37658.4037	0	0	0	0	0	3
12	4	0	0.3	155924.256	157372.373	138131.693	195141.118	37768.7449	0	0	0	0	0	3
13	4	0	0.325	157426.951	157376.571	138131.693	195141.118	37768.7449	0	0	0	0	0	3
14	5	0	0.35	156856.888	157339.451	138131.693	195141.118	37801.6669	0	0	0	0	0	3
15	5	0	0.375	158121.319	157391.576	138131.693	195141.118	37801.6669	0	0	0	0	0	3
16	5	0	0.4	158206.487	157442.508	138131.693	195141.118	37801.6669	0	0	0	0	0	3
17	5	0	0.425	158662.4	157514.266	138131.693	195141.118	37801.6669	0	0	0	0	0	3
18	6	0	0.45	158776.376	157584.383	138131.693	195141.118	37801.6669	0	0	0	0	0	3
19	6	0	0.475	160009.204	157712.005	138131.693	195141.118	37801.6669	0	0	0	0	0	3
20	6	0	0.5	159795.164	157816.163	138131.693	195141.118	37801.6669	0	0	0	0	0	3
21	6	0	0.525	160149.221	156066.568	138131.693	170133.552	14213.1712	0	0	0	0	0	3
22	6	0	0.55	160351.932	156813.247	138131.693	170133.552	14164.4421	0	0	0	0	0	3
23	7	0	0.575	160917.593	156352.449	138131.693	166113.225	6921.02146	0	0	0	0	0	3
24	7	0	0.6	161456.183	157518.674	140992.5	166113.225	6921.02146	0	0	0	0	0	3
25	7	0	0.625	162281.611	157327.093	140992.5	162281.611	3420.93404	0	0	0	0	0	3
26	7	0	0.65	163169.508	158435.943	146322.057	163169.508	3420.93404	0	0	0	0	0	3
27	8	0	0.675	163797.575	158601.719	146322.057	163797.575	2535.15012	0	0	0	0	0	3
28	8	0	0.7	164145.414	159492.886	152952.624	164145.414	3426.318	0	0	0	0	0	3
29	8	0	0.725	164760.577	159773.918	152952.624	164760.577	3707.34959	0	0	0	0	0	3
30	8	0	0.75	165288.422	160390.708	155924.256	165288.422	4324.13946	0	0	0	0	0	3
31	9	0	0.775	165611.179	160785.413	155924.256	165611.179	4718.84453	0	0	0	0	0	3
32	9	0	0.8	165882.943	161283.347	156856.888	165882.943	5216.77886	0	0	0	0	0	3
33	9	0	0.825	166189.455	161721.472	156856.888	166189.455	5654.9041	0	0	0	0	0	3
34	9	0	0.85	166553.048	162206.28	158121.319	166553.048	6139.71209	0	0	0	0	0	3
35	9	0	0.875	166896.31	162645.03	158206.487	166896.31	6578.46166	0	0	0	0	0	3
36	10	0	0.9	167338.556	163101.634	158662.4	167338.556	7035.06511	0	0	0	0	0	3
37	10	0	0.925	167616.682	163549.348	158776.376	167616.682	7482.77924	0	0	0	0	0	3
38	10	0	0.95	167949.202	164007.989	159795.164	167949.202	7941.42053	0	0	0	0	0	3
39	10	0	0.975	168137.692	164414.413	159795.164	168137.692	8342.52785	0	0	0	0	0	3
40	11	0	1	168463.581	164847.834	160149.221	168463.581	8314.36028	4287.60912	0	0	0	0	3
41	11	0	1.025	168646.273	165272.687	160351.932	168646.273	8294.34042	4287.60912	0	0	0	0	3
42	11	0	1.05	168862.919	165698.236	160917.593	168862.919	7945.32563	4287.60912	0	0	0	0	3
43	11	0	1.075	169051.567	166104.935	161456.183	169051.567	7595.38348	4287.60912	0	0	0	0	3
44	11	0	1.1	169329.659	166258.493	161456.183	169329.659	7873.47527	4287.60912	0	0	0	0	3
45	12	0	1.125	169482.306	166640.689	162281.611	169482.306	7200.69567	4287.60912	0	0	0	0	3
