Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	293.19998	293.19998	293.19998	293.19998	0	0	0	0	0	0	3
2	2	0	0.05	293.199979	293.19998	293.199979	293.19998	5.16614136e-07	0	0	0	0	0	3
3	2	0	0.075	293.19997	293.199977	293.19997	293.19998	3.8727328e-06	0	0	0	0	0	3
4	2	0	0.1	293.199974	293.199976	293.19997	293.19998	4.41554141e-06	0	0	0	0	0	3
5	3	0	0.125	293.199962	293.199973	293.199962	293.19998	7.19823544e-06	0	0	0	0	0	3
6	3	0	0.15	293.199973	293.199973	293.199962	293.19998	7.19823544e-06	0	0	0	0	0	3
7	3	0	0.175	293.199944	293.199969	293.199944	293.19998	1.13343839e-05	0	0	0	0	0	3
8	3	0	0.2	293.199983	293.199971	293.199944	293.199983	1.13343839e-05	0	0	0	0	0	3
9	3	0	0.225	293.19998	293.199972	293.199944	293.199983	1.13343839e-05	0	0	0	0	0	3
10	4	0	0.25	293.200003	293.199975	293.199944	293.200003	1.13343839e-05	0	0	0	0	0	3
11	4	0	0.275	293.200012	293.199978	293.199944	293.200012	1.13343839e-05	0	0	0	0	0	3
12	4	0	0.3	293.200452	293.200018	293.199944	293.200452	4.8787922e-05	0	0	0	0	0	3
13	4	0	0.325	293.200148	293.200028	293.199944	293.200452	5.88233371e-05	0	0	0	0	0	3
14	5	0	0.35	293.200308	293.200048	293.199944	293.200452	7.8843122e-05	0	0	0	0	0	3
15	5	0	0.375	293.200054	293.200048	293.199944	293.200452	7.92799576e-05	0	0	0	0	0	3
16	5	0	0.4	293.200079	293.20005	293.199944	293.200452	8.11827168e-05	0	0	0	0	0	3
17	5	0	0.425	293.200016	293.200048	293.199944	293.200452	8.11827168e-05	0	0	0	0	0	3
18	6	0	0.45	293.200028	293.200047	293.199944	293.200452	8.11827168e-05	0	0	0	0	0	3
19	6	0	0.475	293.199788	293.200033	293.199788	293.200452	8.11827168e-05	0	0	0	0	0	3
20	6	0	0.5	293.199862	293.200025	293.199788	293.200452	8.11827168e-05	0	0	0	0	0	3
21	6	0	0.525	293.199829	293.200017	293.199788	293.200452	8.11827168e-05	0	0	0	0	0	3
22	6	0	0.55	293.199818	293.200009	293.199788	293.200452	8.11827168e-05	0	0	0	0	0	3
23	7	0	0.575	293.199726	293.199997	293.199726	293.200452	8.11827168e-05	0	0	0	0	0	3
24	7	0	0.6	293.199633	293.19998	293.199633	293.200452	8.11827168e-05	0	0	0	0	0	3
25	7	0	0.625	293.199476	293.199956	293.199476	293.200452	9.46050864e-05	0	0	0	0	0	3
26	7	0	0.65	293.199321	293.199923	293.199321	293.200452	0.00012721063	0	0	0	0	0	3
27	8	0	0.675	293.199224	293.199887	293.199224	293.200452	0.000163234744	0	0	0	0	0	3
28	8	0	0.7	293.199192	293.199847	293.199192	293.200452	0.000202820685	0	0	0	0	0	3
29	8	0	0.725	293.199102	293.199804	293.199102	293.200452	0.0002467281	0	0	0	0	0	3
30	8	0	0.75	293.199036	293.199755	293.199036	293.200452	0.000295050854	0	0	0	0	0	3
31	9	0	0.775	293.199062	293.199708	293.199036	293.200452	0.000342539035	0	0	0	0	0	3
32	9	0	0.8	293.199107	293.19964	293.199036	293.200308	0.000409804979	0	0	0	0	0	3
33	9	0	0.825	293.199148	293.19959	293.199036	293.200308	0.000459821608	0	0	0	0	0	3
34	9	0	0.85	293.19918	293.199534	293.199036	293.200079	0.000516242794	0	0	0	0	0	3
35	9	0	0.875	293.199218	293.199492	293.199036	293.200079	0.000558086902	0	0	0	0	0	3
36	10	0	0.9	293.199316	293.199454	293.199036	293.200028	0.000594194185	0	0	0	0	0	3
37	10	0	0.925	293.199447	293.199426	293.199036	293.200028	0.00062147432	0	0	0	0	0	3
38	10	0	0.95	293.199564	293.199402	293.199036	293.199862	0.000631003485	0	0	0	0	0	3
39	10	0	0.975	293.199703	293.199398	293.199036	293.199862	0.000626666183	0	0	0	0	0	3
40	11	0	1	293.199806	293.199395	293.199036	293.199829	0.000621902845	0.000189726049	0	0	0	0	3
41	11	0	1.025	293.200033	293.199406	293.199036	293.200033	0.000613827875	0.000189726049	0	0	0	0	3
42	11	0	1.05	293.200231	293.199426	293.199036	293.200231	0.00060162436	0.000189726049	0	0	0	0	3
43	11	0	1.075	293.200418	293.199461	293.199036	293.200418	0.000584536017	0.000189726049	0	0	0	0	3
44	11	0	1.1	293.200568	293.199514	293.199036	293.200568	0.000584536017	0.000193581672	0	0	0	0	3
45	12	0	1.125	293.200717	293.199565	293.199036	293.200717	0.000560238265	0.000199892623	0	0	0	0	3
46	12	0	1.15	293.200832	293.19963	293.199036	293.200832	0.000527632721	0.000206666869	0	0	0	0	3
47	12	0	1.175	293.200941	293.199707	293.199036	293.200941	0.000491608607	0.000213597283	0	0	0	0	3
48	12	0	1.2	293.201039	293.199793	293.199036	293.201039	0.000452022666	0.00022043082	0	0	0	0	3
49	13	0	1.225	293.20112	293.199885	293.199036	293.20112	0.000489738798	0.000226962009	0	0	0	0	3
50	13	0	1.25	293.201192	293.199985	293.199036	293.201192	0.000589249095	0.000233146443	0	0	0	0	3
51	13	0	1.275	293.201257	293.20009	293.199062	293.201257	0.00069501673	0.000239004558	0	0	0	0	3
52	13	0	1.3	293.201307	293.200197	293.199107	293.201307	0.000801911315	0.000244437166	0	0	0	0	3
53	14	0	1.325	293.201347	293.200304	293.199148	293.201347	0.000908578877	0.000249449534	0	0	0	0	3
54	14	0	1.35	293.201386	293.200411	293.19918	293.201386	0.00101515358	0.00025411844	0	0	0	0	3
55	14	0	1.375	293.201416	293.200517	293.199218	293.201416	0.00112165715	0.000258435171	0	0	0	0	3
56	14	0	1.4	293.20144	293.200623	293.199316	293.20144	0.00122749429	0.000262411958	0	0	0	0	3
57	14	0	1.425	293.201474	293.200726	293.199447	293.201474	0.00133022721	0.000266186347	0	0	0	0	3
58	15	0	1.45	293.201512	293.200824	293.199564	293.201512	0.00142853309	0.000269824471	0	0	0	0	3
59	15	0	1.475	293.201541	293.200918	293.199703	293.201541	0.0015226857	0.000273285337	0	0	0	0	3
60	15	0	1.5	293.201548	293.201006	293.199806	293.201548	0.0016105428	0.000276447187	0	0	0	0	3
61	15	0	1.525	293.201569	293.20109	293.200033	293.201569	0.00153676825	0.000279442984	0	0	0	0	3
62	16	0	1.55	293.201588	293.201164	293.200231	293.201588	0.00135675789	0.000282281788	0	0	0	0	3
63	16	0	1.575	293.201618	293.20123	293.200418	293.201618	0.00119926056	0.000285044985	0	0	0	0	3
64	16	0	1.6	293.201622	293.201287	293.200568	293.201622	0.00105410912	0.000287600531	0	0	0	0	3
65	16	0	1.625	293.201627	293.201338	293.200717	293.201627	0.000910323856	0.000289980574	0	0	0	0	3
66	17	0	1.65	293.201655	293.201382	293.200832	293.201655	0.000823419767	0.000292322086	0	0	0	0	3
67	17	0	1.675	293.201682	293.201423	293.200941	293.201682	0.000740843375	0.000294622674	0	0	0	0	3
68	17	0	1.7	293.201718	293.20146	293.201039	293.201718	0.00067945816	0.000296932556	0	0	0	0	3
69	17	0	1.725	293.201714	293.201492	293.20112	293.201718	0.000597759793	0.000299083137	0	0	0	0	3
70	18	0	1.75	293.201722	293.201521	293.201192	293.201722	0.000530349609	0.000301109118	0	0	0	0	3
71	18	0	1.775	293.201773	293.201548	293.201257	293.201773	0.000515690307	0.000303113292	0	0	0	0	3
72	18	0	1.8	293.201869	293.201578	293.201307	293.201869	0.000562404166	0.000305205581	0	0	0	0	3
73	18	0	1.825	293.201874	293.201605	293.201347	293.201874	0.00052673414	0.000307023958	0	0	0	0	3
74	18	0	1.85	293.201842	293.201628	293.201386	293.201874	0.000487800932	0.000308610214	0	0	0	0	3
75	19	0	1.875	293.201903	293.201653	293.201416	293.201903	0.000486736377	0.000310072776	0	0	0	0	3
76	19	0	1.9	293.201962	293.201679	293.20144	293.201962	0.000521710797	0.000311305012	0	0	0	0	3
77	19	0	1.925	293.202029	293.201707	293.201474	293.202029	0.000554814289	0.000312238106	0	0	0	0	3
78	19	0	1.95	293.202046	293.201734	293.201512	293.202046	0.000533592672	0.000312771005	0	0	0	0	3
79	20	0	1.975	293.20207	293.201761	293.201541	293.20207	0.000529411792	0.000312884112	0	0	0	0	3
80	20	0	2	293.202028	293.201784	293.201548	293.20207	0.000522385313	0.000312646158	0	0	0	0	3
81	20	0	2.025	293.202085	293.201809	293.201569	293.202085	0.000515913756	0.000311728407	0	0	0	0	3
82	20	0	2.05	293.202165	293.201838	293.201588	293.202165	0.000576537308	0.000310473513	0	0	0	0	3
83	21	0	2.075	293.202134	293.201864	293.201618	293.202165	0.000547139855	0.000308694658	0	0	0	0	3
84	21	0	2.1	293.202157	293.201889	293.201622	293.202165	0.000543088867	0.000306542338	0	0	0	0	3
85	21	0	2.125	293.20219	293.201916	293.201627	293.20219	0.00056329079	0.000304117728	0	0	0	0	3
86	21	0	2.15	293.202232	293.201945	293.201655	293.202232	0.000562786172	0.000301585527	0	0	0	0	3
