Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0211555066	294.255446	294.255446	294.255446	294.255446	0	0	0	0	0	0	3
2	6	0	0.0423110132	295.047532	294.651489	294.255446	295.047532	0.396042987	0	0	0	0	0	3
3	7	0	0.0634665198	296.042051	295.11501	294.255446	296.042051	0.859563835	0	0	0	0	0	3
4	7	0	0.0846220264	297.371203	295.679058	294.255446	297.371203	1.42361218	0	0	0	0	0	3
5	8	0	0.105777533	299.110099	296.365266	294.255446	299.110099	2.10982039	0	0	0	0	0	3
6	9	0	0.12693304	301.329239	297.192595	294.255446	301.329239	2.93714923	0	0	0	0	0	3
7	10	0	0.148088546	304.115944	298.181645	294.255446	304.115944	3.92619911	0	0	0	0	0	3
8	11	0	0.169244053	307.608681	299.360025	294.255446	307.608681	5.10457862	0	0	0	0	0	3
9	13	0	0.190399559	311.993337	300.763726	294.255446	311.993337	6.50828001	0	0	0	0	0	3
10	14	0	0.211555066	317.494219	302.436775	294.255446	317.494219	8.18132932	0	0	0	0	0	3
11	15	0	0.232710573	343.581825	306.177234	294.255446	343.581825	11.9217884	0	0	0	0	0	3
12	17	0	0.253866079	371.183694	311.594439	294.255446	371.183694	17.3389934	0	0	0	0	0	3
13	18	0	0.275021586	399.471671	318.354226	294.255446	399.471671	24.0987804	0	0	0	0	0	3
14	19	0	0.296177092	427.075999	326.120067	294.255446	427.075999	31.8646213	0	0	0	0	0	3
15	20	0	0.317332599	452.97501	334.577063	294.255446	452.97501	40.3216174	0	0	0	0	0	3
16	21	0	0.338488106	475.976887	343.414552	294.255446	475.976887	49.1591064	0	0	0	0	0	3
17	22	0	0.359643612	494.076309	352.277009	294.255446	494.076309	58.0215627	0	0	0	0	0	3
18	23	0	0.380799119	506.260804	360.831664	294.255446	506.260804	66.576218	0	0	0	0	0	3
19	24	0	0.401954625	513.178704	368.849929	294.255446	513.178704	74.5944832	0	0	0	0	0	3
20	25	0	0.423110132	516.629498	376.238908	294.255446	516.629498	81.9834617	0	0	0	0	0	3
21	26	0	0.444265639	517.791938	382.979528	294.255446	517.791938	88.7240822	0	0	0	0	0	3
22	27	0	0.465421145	518.460995	389.137777	294.255446	518.460995	94.8823307	0	0	0	0	0	3
23	28	0	0.486576652	519.109869	394.788737	294.255446	519.109869	100.533291	0	0	0	0	0	3
24	29	0	0.507732158	519.700295	399.993385	294.255446	519.700295	105.737939	0	0	0	0	0	3
25	30	0	0.528887665	520.240238	409.409418	295.047532	520.240238	114.757929	0	0	0	0	0	3
26	31	0	0.550043172	520.902579	418.820045	296.042051	520.902579	123.705036	0	0	0	0	0	3
27	32	0	0.571198678	521.481235	428.213345	297.371203	521.481235	132.534287	0	0	0	0	0	3
28	33	0	0.592354185	521.963087	437.57134	299.110099	521.963087	141.206074	0	0	0	0	0	3
29	34	0	0.613509691	522.629726	446.884658	301.329239	522.629726	149.692062	0	0	0	0	0	3
