Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0211555066	112084.527	112084.527	112084.527	112084.527	0	0	0	0	0	0	3
2	6	0	0.0423110132	122814.372	117449.449	112084.527	122814.372	5364.92249	0	0	0	0	0	3
3	7	0	0.0634665198	116620.352	117173.083	112084.527	122814.372	5364.92249	0	0	0	0	0	3
4	7	0	0.0846220264	110816.602	115583.963	110816.602	122814.372	5364.92249	0	0	0	0	0	3
5	8	0	0.105777533	105363.475	113539.865	105363.475	122814.372	5364.92249	0	0	0	0	0	3
6	9	0	0.12693304	103342.21	111840.256	103342.21	122814.372	5609.19292	0	0	0	0	0	3
7	10	0	0.148088546	103751.475	110684.716	103342.21	122814.372	6764.73303	0	0	0	0	0	3
8	11	0	0.169244053	103955.294	109843.538	103342.21	122814.372	7605.91085	0	0	0	0	0	3
9	13	0	0.190399559	103905.814	109183.791	103342.21	122814.372	8265.65804	0	0	0	0	0	3
10	14	0	0.211555066	103838.587	108649.271	103342.21	122814.372	8800.17845	0	0	0	0	0	3
11	15	0	0.232710573	103791.254	108207.633	103342.21	122814.372	9241.81629	0	0	0	0	0	3
12	17	0	0.253866079	103784.558	107839.043	103342.21	122814.372	9610.4059	0	0	0	0	0	3
13	18	0	0.275021586	103717.233	107521.981	103342.21	122814.372	9927.46819	0	0	0	0	0	3
14	19	0	0.296177092	103692.068	107248.416	103342.21	122814.372	10201.0334	0	0	0	0	0	3
15	20	0	0.317332599	103696.759	107011.639	103342.21	122814.372	10437.8105	0	0	0	0	0	3
16	21	0	0.338488106	103590.146	106797.795	103342.21	122814.372	10651.6538	0	0	0	0	0	3
17	22	0	0.359643612	103547.557	106606.605	103342.21	122814.372	10842.8443	0	0	0	0	0	3
18	23	0	0.380799119	103505.734	106434.334	103342.21	122814.372	11015.1149	0	0	0	0	0	3
19	24	0	0.401954625	103477.778	106278.726	103342.21	122814.372	11170.7231	0	0	0	0	0	3
20	25	0	0.423110132	103458.28	106137.704	103342.21	122814.372	11311.7454	0	0	0	0	0	3
21	26	0	0.444265639	103431.49	106008.836	103342.21	122814.372	11440.6128	0	0	0	0	0	3
22	27	0	0.465421145	103408.086	105890.62	103342.21	122814.372	11558.8287	0	0	0	0	0	3
23	28	0	0.486576652	103378.44	105781.395	103342.21	122814.372	11668.0539	0	0	0	0	0	3
24	29	0	0.507732158	103335.997	105679.504	103335.997	122814.372	11769.9455	0	0	0	0	0	3
25	30	0	0.528887665	103295.278	105313.285	103295.278	122814.372	12136.1642	0	0	0	0	0	3
26	31	0	0.550043172	103226.163	104497.11	103226.163	116620.352	12675.9738	0	0	0	0	0	3
27	32	0	0.571198678	103171.448	103936.739	103171.448	110816.602	7645.15443	0	0	0	0	0	3
28	33	0	0.592354185	103140.774	103616.912	103140.774	105363.475	2222.70051	0	0	0	0	0	3
29	34	0	0.613509691	103074.956	103521.557	103074.956	103955.294	880.338037	0	0	0	0	0	3
30	35	0	0.634665198	103022.204	103508.224	103022.204	103955.294	933.089202	0	0	0	0	0	3
31	35	0	0.655820705	102979.321	103476.051	102979.321	103955.294	975.972544	0	0	0	0	0	3
32	36	0	0.676976211	102969.506	103434.976	102969.506	103905.814	936.307717	0	0	0	0	0	3
33	38	0	0.698131718	102961.804	103395.643	102961.804	103838.587	876.782695	0	0	0	0	0	3
34	38	0	0.719287224	102954.907	103358.823	102954.907	103791.254	836.34783	0	0	0	0	0	3
35	39	0	0.740442731	102961.222	103324.238	102954.907	103784.558	829.651035	0	0	0	0	0	3
36	40	0	0.761598238	102968.829	103290.249	102954.907	103717.233	762.326795	0	0	0	0	0	3
37	41	0	0.782753744	102980.31	103259.544	102954.907	103696.759	741.852785	0	0	0	0	0	3
38	42	0	0.803909251	102986.106	103230.129	102954.907	103696.759	741.852785	0	0	0	0	0	3
39	43	0	0.825064757	102999.482	103201.076	102954.907	103590.146	635.238912	0	0	0	0	0	3
