Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0211555066	293.225278	293.225278	293.225278	293.225278	0	0	0	0	0	0	3
2	6	0	0.0423110132	293.19856	293.211919	293.19856	293.225278	0.0133588216	0	0	0	0	0	3
3	7	0	0.0634665198	293.193387	293.205742	293.193387	293.225278	0.0195360609	0	0	0	0	0	3
4	7	0	0.0846220264	293.196889	293.203529	293.193387	293.225278	0.0217491364	0	0	0	0	0	3
5	8	0	0.105777533	293.193504	293.201524	293.193387	293.225278	0.0237540192	0	0	0	0	0	3
6	9	0	0.12693304	293.193504	293.200187	293.193387	293.225278	0.0250906077	0	0	0	0	0	3
7	10	0	0.148088546	293.193504	293.199232	293.193387	293.225278	0.0260453138	0	0	0	0	0	3
8	11	0	0.169244053	293.193504	293.198516	293.193387	293.225278	0.0267613433	0	0	0	0	0	3
9	13	0	0.190399559	293.193504	293.197959	293.193387	293.225278	0.0273182552	0	0	0	0	0	3
10	14	0	0.211555066	293.193504	293.197514	293.193387	293.225278	0.0277637847	0	0	0	0	0	3
11	15	0	0.232710573	293.215911	293.199186	293.193387	293.225278	0.0277637847	0	0	0	0	0	3
12	17	0	0.253866079	293.290761	293.206818	293.193387	293.290761	0.0277637847	0	0	0	0	0	3
13	18	0	0.275021586	293.407677	293.222268	293.193387	293.407677	0.0277637847	0	0	0	0	0	3
14	19	0	0.296177092	293.564286	293.246698	293.193387	293.564286	0.0491842278	0	0	0	0	0	3
15	20	0	0.317332599	293.759007	293.280852	293.193387	293.759007	0.0833381563	0	0	0	0	0	3
16	21	0	0.338488106	294.119305	293.333255	293.193387	294.119305	0.135741469	0	0	0	0	0	3
17	22	0	0.359643612	294.539165	293.404191	293.193387	294.539165	0.206677313	0	0	0	0	0	3
18	23	0	0.380799119	295.011943	293.493511	293.193387	295.011943	0.295996876	0	0	0	0	0	3
19	24	0	0.401954625	295.527606	293.600568	293.193387	295.527606	0.403054529	0	0	0	0	0	3
20	25	0	0.423110132	296.076678	293.724374	293.193387	296.076678	0.526859995	0	0	0	0	0	3
21	26	0	0.444265639	296.955535	293.878239	293.193387	296.955535	0.680724825	0	0	0	0	0	3
22	27	0	0.465421145	297.87267	294.059804	293.193387	297.87267	0.862289887	0	0	0	0	0	3
23	28	0	0.486576652	298.818736	294.266714	293.193387	298.818736	1.0692	0	0	0	0	0	3
24	29	0	0.507732158	299.785929	294.496681	293.193387	299.785929	1.29916728	0	0	0	0	0	3
25	30	0	0.528887665	300.768771	294.810993	293.193387	300.768771	1.6134795	0	0	0	0	0	3
26	31	0	0.550043172	302.258201	295.188478	293.193387	302.258201	1.99096454	0	0	0	0	0	3
27	32	0	0.571198678	303.762877	295.628874	293.193504	303.762877	2.43135995	0	0	0	0	0	3
28	33	0	0.592354185	305.282978	296.132461	293.193504	305.282978	2.93494696	0	0	0	0	0	3
29	34	0	0.613509691	306.847572	296.70138	293.193504	306.847572	3.50386647	0	0	0	0	0	3
30	35	0	0.634665198	308.460996	297.337526	293.193504	308.460996	4.14001197	0	0	0	0	0	3
31	35	0	0.655820705	310.864255	298.073807	293.193504	310.864255	4.87629324	0	0	0	0	0	3
32	36	0	0.676976211	313.243181	298.90921	293.193504	313.243181	5.71169644	0	0	0	0	0	3
