Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0211555066	0.454412042	0.454412042	0.454412042	0.454412042	0	0	0	0	0	0	3
2	6	0	0.0423110132	1.1252187	0.78981537	0.454412042	1.1252187	0.335403328	0	0	0	0	0	3
3	7	0	0.0634665198	2.39923852	1.32628975	0.454412042	2.39923852	0.87187771	0	0	0	0	0	3
4	7	0	0.0846220264	4.99026716	2.2422841	0.454412042	4.99026716	1.78787206	0	0	0	0	0	3
5	8	0	0.105777533	7.49133362	3.29209401	0.454412042	7.49133362	2.83768197	0	0	0	0	0	3
6	9	0	0.12693304	10.6896579	4.52502133	0.454412042	10.6896579	4.07060928	0	0	0	0	0	3
7	10	0	0.148088546	16.1118077	6.18027653	0.454412042	16.1118077	5.72586449	0	0	0	0	0	3
8	11	0	0.169244053	19.3396299	7.8251957	0.454412042	19.3396299	7.37078366	0	0	0	0	0	3
9	13	0	0.190399559	26.0131952	9.84608453	0.454412042	26.0131952	9.39167249	0	0	0	0	0	3
10	14	0	0.211555066	45.0749131	13.3689674	0.454412042	45.0749131	12.9145553	0	0	0	0	0	3
11	15	0	0.232710573	182.662008	28.7592438	0.454412042	182.662008	28.3048317	0	0	0	0	0	3
12	17	0	0.253866079	322.569829	53.2434592	0.454412042	322.569829	52.7890472	0	0	0	0	0	3
13	18	0	0.275021586	466.03305	84.9965047	0.454412042	466.03305	84.5420926	0	0	0	0	0	3
14	19	0	0.296177092	617.439637	123.028157	0.454412042	617.439637	122.573745	0	0	0	0	0	3
15	20	0	0.317332599	758.437554	165.388783	0.454412042	758.437554	164.934371	0	0	0	0	0	3
16	21	0	0.338488106	868.352616	209.324023	0.454412042	868.352616	208.869611	0	0	0	0	0	3
17	22	0	0.359643612	965.425573	253.800585	0.454412042	965.425573	253.346173	0	0	0	0	0	3
18	23	0	0.380799119	1044.09534	297.705849	0.454412042	1044.09534	297.251437	0	0	0	0	0	3
19	24	0	0.401954625	1105.96498	340.245803	0.454412042	1105.96498	339.791391	0	0	0	0	0	3
20	25	0	0.423110132	1149.62767	380.714897	0.454412042	1149.62767	380.260485	0	0	0	0	0	3
21	26	0	0.444265639	1179.15778	418.735986	0.454412042	1179.15778	418.281574	0	0	0	0	0	3
22	27	0	0.465421145	1185.46365	453.587244	0.454412042	1185.46365	453.132832	0	0	0	0	0	3
23	28	0	0.486576652	1187.30351	485.487951	0.454412042	1187.30351	485.033539	0	0	0	0	0	3
24	29	0	0.507732158	1189.30831	514.813799	0.454412042	1189.30831	514.359387	0	0	0	0	0	3
25	30	0	0.528887665	1191.01814	564.420621	1.1252187	1191.01814	563.630806	0	0	0	0	0	3
26	31	0	0.550043172	1189.17849	613.922841	2.39923852	1191.01814	612.596551	0	0	0	0	0	3
27	32	0	0.571198678	1190.63898	663.43283	4.99026716	1191.01814	661.190546	0	0	0	0	0	3
28	33	0	0.592354185	1192.18105	712.899113	7.49133362	1192.18105	709.607019	0	0	0	0	0	3
29	34	0	0.613509691	1190.57729	762.194361	10.6896579	1192.18105	757.66934	0	0	0	0	0	3
30	35	0	0.634665198	1192.42584	811.433369	16.1118077	1192.42584	805.253092	0	0	0	0	0	3
31	35	0	0.655820705	1188.25428	860.272638	19.3396299	1192.42584	852.447443	0	0	0	0	0	3
32	36	0	0.676976211	1189.41809	909.025908	26.0131952	1192.42584	899.179823	0	0	0	0	0	3
33	38	0	0.698131718	1189.85652	957.519379	45.0749131	1192.42584	944.150412	0	0	0	0	0	3
34	38	0	0.719287224	1189.35925	1005.19789	182.662008	1192.42584	976.43865	0	0	0	0	0	3
35	39	0	0.740442731	1190.82969	1047.20488	322.569829	1192.42584	869.856008	0	0	0	0	0	3
36	40	0	0.761598238	1187.05795	1083.22522	466.03305	1192.42584	726.392787	0	0	0	0	0	3
37	41	0	0.782753744	1186.87449	1113.26028	617.439637	1192.42584	574.9862	0	0	0	0	0	3
38	42	0	0.803909251	1186.23898	1136.96025	758.437554	1192.42584	433.988283	0	0	0	0	0	3
39	43	0	0.825064757	1185.86812	1154.76986	868.352616	1192.42584	324.073221	0	0	0	0	0	3
40	44	0	0.846220264	1187.10785	1168.05133	965.425573	1192.42584	227.000264	0	0	0	0	0	3
41	44	0	0.867375771	1183.94256	1177.1562	1044.09534	1192.42584	148.330497	0	0	0	0	0	3
42	45	0	0.888531277	1186.13584	1183.07456	1105.96498	1192.42584	86.4608601	0	0	0	0	0	3
43	46	0	0.909686784	1188.09	1186.49643	1149.62767	1192.42584	42.7981637	0	0	0	0	0	3
44	47	0	0.93084229	1187.01601	1188.05428	1179.15778	1192.42584	13.2680526	0	0	0	0	0	3
45	48	0	0.951997797	1184.09076	1188.25982	1183.94256	1192.42584	8.48327705	0	0	0	0	0	3
46	49	0	0.973153303	1185.81063	1188.27428	1183.94256	1192.42584	8.48327705	0	0	0	0	0	3
47	50	0	0.99430881	1186.37014	1188.23539	1183.94256	1192.42584	8.48327705	0	0	0	0	0	3
48	50	0	1.01546432	1185.11165	1188.06053	1183.94256	1192.42584	8.48327705	75.8856161	0	0	0	0	3
49	51	0	1.03661982	1183.94277	1187.76572	1183.94256	1192.42584	8.48327705	75.8856161	0	0	0	0	3
50	52	0	1.05777533	1185.81179	1187.62544	1183.94256	1192.42584	8.48327705	75.8856161	0	0	0	0	3
51	53	0	1.07893084	1181.35155	1187.23846	1181.35155	1192.42584	11.0742875	75.8856161	0	0	0	0	3
52	54	0	1.10008634	1181.74669	1186.8037	1181.35155	1192.42584	11.0742875	75.8856161	0	0	0	0	3
53	55	0	1.12124185	1183.56577	1186.51155	1181.35155	1192.42584	11.0742875	75.8856161	0	0	0	0	3
54	56	0	1.14239736	1180.65579	1186.02113	1180.65579	1190.82969	10.1739003	75.8856161	0	0	0	0	3
55	56	0	1.16355286	1185.14526	1185.89159	1180.65579	1190.82969	10.1739003	75.8856161	0	0	0	0	3
