Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0211555066	0.8	0.8	0.8	0.8	0	0	0	0	0	0	3
2	6	0	0.0423110132	0.8	0.8	0.8	0.8	9.99200722e-16	0	0	0	0	0	3
3	7	0	0.0634665198	0.8	0.8	0.8	0.8	9.99200722e-16	0	0	0	0	0	3
4	7	0	0.0846220264	0.8	0.8	0.8	0.8	9.99200722e-16	0	0	0	0	0	3
5	8	0	0.105777533	0.8	0.8	0.8	0.8	9.99200722e-16	0	0	0	0	0	3
6	9	0	0.12693304	0.8	0.8	0.8	0.8	9.99200722e-16	0	0	0	0	0	3
7	10	0	0.148088546	0.8	0.8	0.8	0.8	9.99200722e-16	0	0	0	0	0	3
8	11	0	0.169244053	0.8	0.8	0.8	0.8	1.11022302e-15	0	0	0	0	0	3
9	13	0	0.190399559	0.8	0.8	0.8	0.8	1.11022302e-15	0	0	0	0	0	3
10	14	0	0.211555066	0.8	0.8	0.8	0.8	1.33226763e-15	0	0	0	0	0	3
11	15	0	0.232710573	0.8	0.8	0.8	0.8	1.33226763e-15	0	0	0	0	0	3
12	17	0	0.253866079	0.8	0.8	0.8	0.8	1.33226763e-15	0	0	0	0	0	3
13	18	0	0.275021586	0.8	0.8	0.8	0.8	1.33226763e-15	0	0	0	0	0	3
14	19	0	0.296177092	0.8	0.8	0.8	0.8	1.33226763e-15	0	0	0	0	0	3
15	20	0	0.317332599	0.8	0.8	0.8	0.8	1.33226763e-15	0	0	0	0	0	3
16	21	0	0.338488106	0.8	0.8	0.8	0.8	1.33226763e-15	0	0	0	0	0	3
17	22	0	0.359643612	0.8	0.8	0.8	0.8	1.33226763e-15	0	0	0	0	0	3
18	23	0	0.380799119	0.8	0.8	0.8	0.8	1.33226763e-15	0	0	0	0	0	3
19	24	0	0.401954625	0.8	0.8	0.8	0.8	1.33226763e-15	0	0	0	0	0	3
20	25	0	0.423110132	0.8	0.8	0.8	0.8	1.33226763e-15	0	0	0	0	0	3
21	26	0	0.444265639	0.8	0.8	0.8	0.8	1.33226763e-15	0	0	0	0	0	3
22	27	0	0.465421145	0.8	0.8	0.8	0.8	1.33226763e-15	0	0	0	0	0	3
23	28	0	0.486576652	0.8	0.8	0.8	0.8	1.33226763e-15	0	0	0	0	0	3
24	29	0	0.507732158	0.8	0.8	0.8	0.8	1.33226763e-15	0	0	0	0	0	3
25	30	0	0.528887665	0.8	0.8	0.8	0.8	1.33226763e-15	0	0	0	0	0	3
