Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0211555066	0.000299589166	0.000299589166	0.000299589166	0.000299589166	0	0	0	0	0	0	3
2	6	0	0.0423110132	7.18816161e-05	0.000185735391	7.18816161e-05	0.000299589166	0.000113853775	0	0	0	0	0	3
3	7	0	0.0634665198	7.91254033e-06	0.000126461107	7.91254033e-06	0.000299589166	0.000173128058	0	0	0	0	0	3
4	7	0	0.0846220264	-1.43139465e-05	9.12673439e-05	-1.43139465e-05	0.000299589166	0.000208321822	0	0	0	0	0	3
5	8	0	0.105777533	-1.34868065e-05	7.03165138e-05	-1.43139465e-05	0.000299589166	0.000229272652	0	0	0	0	0	3
6	9	0	0.12693304	-2.77065191e-06	5.81353195e-05	-1.43139465e-05	0.000299589166	0.000241453846	0	0	0	0	0	3
7	10	0	0.148088546	-1.20236685e-07	4.98130972e-05	-1.43139465e-05	0.000299589166	0.000249776068	0	0	0	0	0	3
8	11	0	0.169244053	1.13941633e-07	4.36007028e-05	-1.43139465e-05	0.000299589166	0.000255988463	0	0	0	0	0	3
9	13	0	0.190399559	4.66923639e-08	3.87613683e-05	-1.43139465e-05	0.000299589166	0.000260827797	0	0	0	0	0	3
10	14	0	0.211555066	1.43369596e-09	3.48853748e-05	-1.43139465e-05	0.000299589166	0.000264703791	0	0	0	0	0	3
11	15	0	0.232710573	-1.77742934e-10	3.1713961e-05	-1.43139465e-05	0.000299589166	0.000267875205	0	0	0	0	0	3
12	17	0	0.253866079	-3.69677128e-09	2.90708228e-05	-1.43139465e-05	0.000299589166	0.000270518343	0	0	0	0	0	3
13	18	0	0.275021586	-1.8832645e-10	2.68345912e-05	-1.43139465e-05	0.000299589166	0.000272754575	0	0	0	0	0	3
14	19	0	0.296177092	-1.41013666e-09	2.49177339e-05	-1.43139465e-05	0.000299589166	0.000274671432	0	0	0	0	0	3
15	20	0	0.317332599	-2.4883074e-09	2.32563858e-05	-1.43139465e-05	0.000299589166	0.00027633278	0	0	0	0	0	3
16	21	0	0.338488106	-5.65612623e-10	2.18028263e-05	-1.43139465e-05	0.000299589166	0.000277786339	0	0	0	0	0	3
