Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0211555066	102070.806	102070.806	102070.806	102070.806	0	0	0	0	0	0	3
2	6	0	0.0423110132	102279.887	102175.346	102070.806	102279.887	104.540853	0	0	0	0	0	3
3	7	0	0.0634665198	101892.85	102081.181	101892.85	102279.887	104.540853	0	0	0	0	0	3
4	7	0	0.0846220264	101576.087	101954.908	101576.087	102279.887	220.438861	0	0	0	0	0	3
5	8	0	0.105777533	101372.523	101838.431	101372.523	102279.887	336.915857	0	0	0	0	0	3
6	9	0	0.12693304	101355.654	101757.968	101355.654	102279.887	417.37869	0	0	0	0	0	3
7	10	0	0.148088546	101393.3	101705.872	101355.654	102279.887	469.47401	0	0	0	0	0	3
8	11	0	0.169244053	101407.205	101668.539	101355.654	102279.887	506.807477	0	0	0	0	0	3
9	13	0	0.190399559	101407.958	101639.585	101355.654	102279.887	535.760914	0	0	0	0	0	3
10	14	0	0.211555066	101407.932	101616.42	101355.654	102279.887	558.926246	0	0	0	0	0	3
11	15	0	0.232710573	101406.345	101597.322	101355.654	102279.887	578.024011	0	0	0	0	0	3
12	17	0	0.253866079	101406.385	101581.411	101355.654	102279.887	593.93544	0	0	0	0	0	3
13	18	0	0.275021586	101405.824	101567.904	101355.654	102279.887	607.442162	0	0	0	0	0	3
14	19	0	0.296177092	101404.977	101556.267	101355.654	102279.887	619.079842	0	0	0	0	0	3
15	20	0	0.317332599	101404.411	101546.143	101355.654	102279.887	629.20356	0	0	0	0	0	3
16	21	0	0.338488106	101401.133	101537.08	101355.654	102279.887	638.266656	0	0	0	0	0	3
17	22	0	0.359643612	101399.208	101528.97	101355.654	102279.887	646.376759	0	0	0	0	0	3
18	23	0	0.380799119	101397.559	101521.669	101355.654	102279.887	653.677369	0	0	0	0	0	3
19	24	0	0.401954625	101396.135	101515.062	101355.654	102279.887	660.284406	0	0	0	0	0	3
20	25	0	0.423110132	101395.035	101509.061	101355.654	102279.887	666.285768	0	0	0	0	0	3
21	26	0	0.444265639	101393.243	101503.545	101355.654	102279.887	671.8009	0	0	0	0	0	3
22	27	0	0.465421145	101391.77	101498.465	101355.654	102279.887	676.881584	0	0	0	0	0	3
23	28	0	0.486576652	101389.932	101493.746	101355.654	102279.887	681.600393	0	0	0	0	0	3
24	29	0	0.507732158	101387.839	101489.333	101355.654	102279.887	686.013164	0	0	0	0	0	3
25	30	0	0.528887665	101385.761	101460.79	101355.654	102279.887	714.556678	0	0	0	0	0	3
26	31	0	0.550043172	101382.804	101423.411	101355.654	101892.85	537.19689	0	0	0	0	0	3
27	32	0	0.571198678	101380.098	101402.047	101355.654	101576.087	220.433375	0	0	0	0	0	3
28	33	0	0.592354185	101378.021	101393.794	101355.654	101407.958	52.304437	0	0	0	0	0	3
29	34	0	0.613509691	101375.635	101393.923	101355.654	101407.958	52.304437	0	0	0	0	0	3
30	35	0	0.634665198	101373.671	101394.674	101373.671	101407.958	34.2864792	0	0	0	0	0	3
31	35	0	0.655820705	101371.81	101393.779	101371.81	101407.958	36.147611	0	0	0	0	0	3
32	36	0	0.676976211	101370.344	101392.243	101370.344	101407.958	37.613684	0	0	0	0	0	3
33	38	0	0.698131718	101369.569	101390.643	101369.569	101407.932	38.3631891	0	0	0	0	0	3
34	38	0	0.719287224	101368.42	101388.997	101368.42	101406.385	37.9655634	0	0	0	0	0	3
35	39	0	0.740442731	101368.046	101387.401	101368.046	101406.385	38.3389562	0	0	0	0	0	3
36	40	0	0.761598238	101367.649	101385.787	101367.649	101405.824	38.1746746	0	0	0	0	0	3
37	41	0	0.782753744	101367.424	101384.187	101367.424	101404.977	37.5523491	0	0	0	0	0	3
38	42	0	0.803909251	101367.344	101382.619	101367.344	101404.411	37.0671387	0	0	0	0	0	3
39	43	0	0.825064757	101367.471	101381.08	101367.344	101401.133	33.7896633	0	0	0	0	0	3
40	44	0	0.846220264	101367.768	101379.69	101367.344	101399.208	31.8643498	0	0	0	0	0	3
41	44	0	0.867375771	101368.117	101378.394	101367.344	101397.559	30.2150184	0	0	0	0	0	3
42	45	0	0.888531277	101368.729	101377.193	101367.344	101396.135	28.7916915	0	0	0	0	0	3
43	46	0	0.909686784	101369.407	101376.08	101367.344	101395.035	27.6911043	0	0	0	0	0	3
44	47	0	0.93084229	101369.915	101375.033	101367.344	101393.243	25.8992228	0	0	0	0	0	3
45	48	0	0.951997797	101370.29	101374.077	101367.344	101391.77	24.4268238	0	0	0	0	0	3
46	49	0	0.973153303	101370.462	101373.189	101367.344	101389.932	22.588569	0	0	0	0	0	3
47	50	0	0.99430881	101370.666	101372.386	101367.344	101387.839	20.4958602	0	0	0	0	0	3
48	50	0	1.01546432	101370.898	101371.68	101367.344	101385.761	18.4175584	34.2559713	0	0	0	0	3
49	51	0	1.03661982	101371.228	101371.074	101367.344	101382.804	15.4607273	34.2559713	0	0	0	0	3
50	52	0	1.05777533	101371.461	101370.602	101367.344	101380.098	12.7543566	34.2559713	0	0	0	0	3
51	53	0	1.07893084	101371.729	101370.253	101367.344	101378.021	10.6775298	34.2559713	0	0	0	0	3
52	54	0	1.10008634	101371.919	101369.999	101367.344	101375.635	8.29101646	34.2559713	0	0	0	0	3
53	55	0	1.12124185	101372.11	101369.852	101367.344	101373.671	6.32786303	34.2559713	0	0	0	0	3
54	56	0	1.14239736	101372.219	101369.791	101367.344	101372.219	4.87521177	34.2559713	0	0	0	0	3
55	56	0	1.16355286	101372.455	101369.818	101367.344	101372.455	5.11184396	34.2559713	0	0	0	0	3
56	57	0	1.18470837	101372.502	101369.908	101367.344	101372.502	5.15803213	34.2559713	0	0	0	0	3
57	58	0	1.20586388	101372.625	101370.036	101367.344	101372.625	5.28094833	34.2559713	0	0	0	0	3
58	59	0	1.22701938	101372.718	101370.215	101367.344	101372.718	5.3739044	34.2559713	0	0	0	0	3
59	60	0	1.24817489	101372.835	101370.414	101367.344	101372.835	5.49162971	34.2559713	0	0	0	0	3
60	61	0	1.2693304	101372.838	101370.63	101367.344	101372.838	5.49451234	34.2559713	0	0	0	0	3
61	62	0	1.2904859	101372.875	101370.857	101367.344	101372.875	5.53105286	34.2559713	0	0	0	0	3
62	63	0	1.31164141	101372.771	101371.084	101367.471	101372.875	5.40320004	34.2559713	0	0	0	0	3
63	64	0	1.33279692	101372.76	101371.304	101367.768	101372.875	5.10675772	34.2559713	0	0	0	0	3
64	65	0	1.35395242	101372.788	101371.513	101368.117	101372.875	4.75758679	34.2559713	0	0	0	0	3
65	65	0	1.37510793	101372.732	101371.705	101368.729	101372.875	4.14597796	34.2559713	0	0	0	0	3
66	66	0	1.39626344	101372.687	101371.87	101369.407	101372.875	3.4675828	34.2559713	0	0	0	0	3
67	67	0	1.41741894	101372.81	101372.012	101369.915	101372.875	2.95944053	34.2559713	0	0	0	0	3
68	68	0	1.43857445	101372.62	101372.125	101370.29	101372.875	2.5848074	34.2559713	0	0	0	0	3
69	69	0	1.45972996	101372.532	101372.218	101370.462	101372.875	2.41239048	34.2559713	0	0	0	0	3
70	70	0	1.48088546	101372.49	101372.303	101370.666	101372.875	2.20888866	34.2559713	0	0	0	0	3
71	71	0	1.50204097	101372.481	101372.378	101370.898	101372.875	1.97708239	34.2559713	0	0	0	0	3
72	72	0	1.52319648	101372.398	101372.441	101371.228	101372.875	1.64618964	34.2559713	0	0	0	0	3
73	72	0	1.54435198	101372.384	101372.489	101371.461	101372.875	1.41356282	34.2559713	0	0	0	0	3
74	73	0	1.56550749	101372.427	101372.529	101371.729	101372.875	1.14601102	34.2559713	0	0	0	0	3
75	74	0	1.58666299	101372.477	101372.561	101371.919	101372.875	0.955939254	34.2559713	0	0	0	0	3
76	75	0	1.6078185	101372.618	101372.59	101372.11	101372.875	0.764803878	34.2559713	0	0	0	0	3
77	76	0	1.62897401	101372.73	101372.615	101372.219	101372.875	0.655841088	34.2559713	0	0	0	0	3
78	77	0	1.65012951	101372.973	101372.647	101372.384	101372.973	0.588973088	34.2559713	0	0	0	0	3
79	78	0	1.67128502	101373.331	101372.683	101372.384	101373.331	0.946582089	34.2559713	0	0	0	0	3
80	79	0	1.69244053	101373.781	101372.737	101372.384	101373.781	1.39726267	34.2559713	0	0	0	0	3
81	80	0	1.71359603	101374.096	101372.798	101372.384	101374.096	1.71184132	34.2559713	0	0	0	0	3
82	80	0	1.73475154	101374.166	101372.858	101372.384	101374.166	1.78212522	34.2559713	0	0	0	0	3
83	81	0	1.75590705	101374.252	101372.917	101372.384	101374.252	1.86795608	34.2559713	0	0	0	0	3
84	82	0	1.77706255	101374.24	101372.976	101372.384	101374.252	1.86795608	34.2559713	0	0	0	0	3
85	83	0	1.79821806	101374.251	101373.033	101372.384	101374.252	1.86795608	34.2559713	0	0	0	0	3
86	84	0	1.81937357	101374.256	101373.095	101372.384	101374.256	1.79106142	34.2559713	0	0	0	0	3
