Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0211555066	293.198971	293.198971	293.198971	293.198971	0	0	0	0	0	0	3
2	6	0	0.0423110132	293.201383	293.200177	293.198971	293.201383	0.00120619215	0	0	0	0	0	3
3	7	0	0.0634665198	293.197924	293.199426	293.197924	293.201383	0.00120619215	0	0	0	0	0	3
4	7	0	0.0846220264	293.195878	293.198539	293.195878	293.201383	0.00163820529	0	0	0	0	0	3
5	8	0	0.105777533	293.196322	293.198096	293.195878	293.201383	0.00208158495	0	0	0	0	0	3
6	9	0	0.12693304	293.206304	293.199464	293.195878	293.206304	0.00208158495	0	0	0	0	0	3
7	10	0	0.148088546	293.267099	293.209126	293.195878	293.267099	0.0110302401	0	0	0	0	0	3
8	11	0	0.169244053	293.665262	293.266143	293.195878	293.665262	0.0680471995	0	0	0	0	0	3
9	13	0	0.190399559	294.575243	293.411598	293.195878	294.575243	0.213502773	0	0	0	0	0	3
10	14	0	0.211555066	294.87661	293.5581	293.195878	294.87661	0.360003963	0	0	0	0	0	3
11	15	0	0.232710573	295.988249	293.779022	293.195878	295.988249	0.58092665	0	0	0	0	0	3
12	17	0	0.253866079	297.370671	294.078326	293.195878	297.370671	0.880230734	0	0	0	0	0	3
13	18	0	0.275021586	298.800844	294.441597	293.195878	298.800844	1.24350134	0	0	0	0	0	3
14	19	0	0.296177092	300.228501	294.854947	293.195878	300.228501	1.6568516	0	0	0	0	0	3
15	20	0	0.317332599	301.614523	295.305586	293.195878	301.614523	2.10748998	0	0	0	0	0	3
16	21	0	0.338488106	303.555904	295.82123	293.195878	303.555904	2.62313489	0	0	0	0	0	3
17	22	0	0.359643612	305.248655	296.375785	293.195878	305.248655	3.17768925	0	0	0	0	0	3
18	23	0	0.380799119	306.726277	296.950812	293.195878	306.726277	3.75271658	0	0	0	0	0	3
19	24	0	0.401954625	307.999075	297.5323	293.195878	307.999075	4.33420409	0	0	0	0	0	3
20	25	0	0.423110132	309.084481	298.109909	293.195878	309.084481	4.91181313	0	0	0	0	0	3
21	26	0	0.444265639	310.407089	298.695489	293.195878	310.407089	5.49739313	0	0	0	0	0	3
22	27	0	0.465421145	311.441197	299.274839	293.195878	311.441197	6.0767435	0	0	0	0	0	3
23	28	0	0.486576652	312.258375	299.839341	293.195878	312.258375	6.64124507	0	0	0	0	0	3
24	29	0	0.507732158	312.905663	300.383771	293.195878	312.905663	7.18567517	0	0	0	0	0	3
25	30	0	0.528887665	313.420518	301.226335	293.195878	313.420518	8.02823962	0	0	0	0	0	3
26	31	0	0.550043172	313.985049	302.092321	293.195878	313.985049	8.89422568	0	0	0	0	0	3
27	32	0	0.571198678	314.402199	302.975833	293.195878	314.402199	9.77773714	0	0	0	0	0	3
