Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0211555066	293.490905	293.490905	293.490905	293.490905	0	0	0	0	0	0	3
2	6	0	0.0423110132	293.857574	293.67424	293.490905	293.857574	0.183334528	0	0	0	0	0	3
3	7	0	0.0634665198	294.351418	293.899966	293.490905	294.351418	0.409060495	0	0	0	0	0	3
4	7	0	0.0846220264	295.025408	294.181326	293.490905	295.025408	0.690420939	0	0	0	0	0	3
5	8	0	0.105777533	295.948088	294.534679	293.490905	295.948088	1.04377333	0	0	0	0	0	3
6	9	0	0.12693304	297.214686	294.981346	293.490905	297.214686	1.49044125	0	0	0	0	0	3
7	10	0	0.148088546	298.958103	295.549455	293.490905	298.958103	2.05854926	0	0	0	0	0	3
8	11	0	0.169244053	301.36754	296.276715	293.490905	301.36754	2.78581001	0	0	0	0	0	3
9	13	0	0.190399559	304.682874	297.210733	293.490905	304.682874	3.71982767	0	0	0	0	0	3
10	14	0	0.211555066	309.170068	298.406666	293.490905	309.170068	4.91576116	0	0	0	0	0	3
11	15	0	0.232710573	333.873078	301.630886	293.490905	333.873078	8.13998041	0	0	0	0	0	3
12	17	0	0.253866079	359.479396	306.451595	293.490905	359.479396	12.9606896	0	0	0	0	0	3
13	18	0	0.275021586	385.450916	312.528466	293.490905	385.450916	19.0375605	0	0	0	0	0	3
14	19	0	0.296177092	410.391224	319.518663	293.490905	410.391224	26.0277575	0	0	0	0	0	3
15	20	0	0.317332599	433.364998	327.108418	293.490905	433.364998	33.6175132	0	0	0	0	0	3
16	21	0	0.338488106	453.720607	335.02168	293.490905	453.720607	41.5307749	0	0	0	0	0	3
17	22	0	0.359643612	469.755555	342.947202	293.490905	469.755555	49.456297	0	0	0	0	0	3
18	23	0	0.380799119	480.819182	350.606757	293.490905	480.819182	57.1158514	0	0	0	0	0	3
19	24	0	0.401954625	487.40708	357.806774	293.490905	487.40708	64.3158684	0	0	0	0	0	3
20	25	0	0.423110132	490.907487	364.461809	293.490905	490.907487	70.9709041	0	0	0	0	0	3
21	26	0	0.444265639	492.431058	370.555583	293.490905	492.431058	77.0646779	0	0	0	0	0	3
22	27	0	0.465421145	493.429897	376.140779	293.490905	493.429897	82.6498739	0	0	0	0	0	3
23	28	0	0.486576652	494.290712	381.277733	293.490905	494.290712	87.7868275	0	0	0	0	0	3
24	29	0	0.507732158	495.013354	386.016717	293.490905	495.013354	92.5258118	0	0	0	0	0	3
25	30	0	0.528887665	495.605949	394.438177	293.857574	495.605949	100.763937	0	0	0	0	0	3
26	31	0	0.550043172	496.328812	402.874479	294.351418	496.328812	108.974513	0	0	0	0	0	3
27	32	0	0.571198678	496.952364	411.316185	295.025408	496.952364	117.134859	0	0	0	0	0	3
28	33	0	0.592354185	497.474005	419.751543	295.948088	497.474005	125.216865	0	0	0	0	0	3
29	34	0	0.613509691	498.121487	428.175435	297.214686	498.121487	133.194088	0	0	0	0	0	3
30	35	0	0.634665198	498.625812	436.567565	298.958103	498.625812	141.01811	0	0	0	0	0	3
31	35	0	0.655820705	499.413468	444.919872	301.36754	499.413468	148.643157	0	0	0	0	0	3
32	36	0	0.676976211	500.138851	453.20201	304.682874	500.138851	155.991277	0	0	0	0	0	3
33	38	0	0.698131718	500.837457	461.375117	309.170068	500.837457	162.968451	0	0	0	0	0	3
34	38	0	0.719287224	501.571772	469.391855	333.873078	501.571772	167.698694	0	0	0	0	0	3
