Iteration	CPUTime	PhysTime	Travels
1	5	0	0.0211555066
2	6	0	0.0423110132
3	7	0	0.0634665198
4	7	0	0.0846220264
5	8	0	0.105777533
6	9	0	0.12693304
7	10	0	0.148088546
8	11	0	0.169244053
9	13	0	0.190399559
10	14	0	0.211555066
11	15	0	0.232710573
12	17	0	0.253866079
13	18	0	0.275021586
14	19	0	0.296177092
15	20	0	0.317332599
16	21	0	0.338488106
17	22	0	0.359643612
18	23	0	0.380799119
19	24	0	0.401954625
20	25	0	0.423110132
21	26	0	0.444265639
22	27	0	0.465421145
23	28	0	0.486576652
24	29	0	0.507732158
25	30	0	0.528887665
26	31	0	0.550043172
27	32	0	0.571198678
28	33	0	0.592354185
29	34	0	0.613509691
30	35	0	0.634665198
31	35	0	0.655820705
32	36	0	0.676976211
33	38	0	0.698131718
34	38	0	0.719287224
35	39	0	0.740442731
36	40	0	0.761598238
37	41	0	0.782753744
38	42	0	0.803909251
39	43	0	0.825064757
40	44	0	0.846220264
41	44	0	0.867375771
42	45	0	0.888531277
43	46	0	0.909686784
44	47	0	0.93084229
45	48	0	0.951997797
46	49	0	0.973153303
47	50	0	0.99430881
48	50	0	1.01546432
49	51	0	1.03661982
50	52	0	1.05777533
51	53	0	1.07893084
52	54	0	1.10008634
53	55	0	1.12124185
54	56	0	1.14239736
55	56	0	1.16355286
56	57	0	1.18470837
57	58	0	1.20586388
58	59	0	1.22701938
59	60	0	1.24817489
60	61	0	1.2693304
61	62	0	1.2904859
62	63	0	1.31164141
63	64	0	1.33279692
64	65	0	1.35395242
65	65	0	1.37510793
66	66	0	1.39626344
67	67	0	1.41741894
68	68	0	1.43857445
69	69	0	1.45972996
70	70	0	1.48088546
71	71	0	1.50204097
72	72	0	1.52319648
73	72	0	1.54435198
74	73	0	1.56550749
75	74	0	1.58666299
76	75	0	1.6078185
77	76	0	1.62897401
78	77	0	1.65012951
79	78	0	1.67128502
80	79	0	1.69244053
81	80	0	1.71359603
82	80	0	1.73475154
83	81	0	1.75590705
84	82	0	1.77706255
85	83	0	1.79821806
86	84	0	1.81937357
87	85	0	1.84052907
88	86	0	1.86168458
89	86	0	1.88284009
